name,dataset,target,geometry,scope,invariant,mae_mean,mae_std,rmse_mean,rmse_std
cv10-HS_LS_same_fold-OctaFull-HOMO-inv-noH-ns64-d64-l2-vector-node,OctaFull,HOMO,default,global,True,0.8719250857830048,0.12760941269952447,1.6358450651168823,0.2293624306821081
cv10-HS_LS_same_fold-OctaFull_emb-HOMO-inv-noH-ns64-d64-l2-vector-node,OctaFull,HOMO,default,global,True,0.2634729713201523,0.0161273019009488,0.4624291628599167,0.08397053824333985
cv10-random-OctaFull-HOMO-inv-noH-ns64-d64-l2-vector-node,OctaFull,HOMO,default,global,True,0.7514436304569244,0.06652957983472858,1.4531264424324035,0.17099333776796818
cv10-random-OctaFull_emb-HOMO-inv-noH-ns64-d64-l2-vector-node,OctaFull,HOMO,default,global,True,0.22812633514404296,0.019744505336110465,0.3807655394077301,0.0709578732646042
train_valid-OctaFull-HOMO-inv-noH-ns64-d64-l2-vector-node,OctaFull,HOMO,default,global,True,1.8961838483810425,,3.088339567184448,
train_valid-OctaFull_emb-HOMO-inv-noH-ns64-d64-l2-vector-node,OctaFull,HOMO,default,global,True,0.5055840015411377,,0.748645544052124,
cv10-HS_LS_same_fold-OctaFull-HOMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,HOMO,default,local,True,1.0512145519256593,0.07310608639474887,1.851106584072113,0.13389143780025228
cv10-HS_LS_same_fold-OctaFull_emb-HOMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,HOMO,default,local,True,0.2651693969964981,0.017359285636234248,0.4314016252756119,0.05267513087064493
cv10-random-OctaFull-HOMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,HOMO,default,local,True,0.9413241446018219,0.08274442065040696,1.6562203526496888,0.14684861765646484
cv10-random-OctaFull_emb-HOMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,HOMO,default,local,True,0.24016517251729966,0.013958001337874051,0.38415585458278656,0.03760524757272137
train_valid-OctaFull-HOMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,HOMO,default,local,True,1.3664724826812744,,2.1264278888702393,
train_valid-OctaFull_emb-HOMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,HOMO,default,local,True,0.3631327748298645,,0.5664626955986023,
cv10-HS_LS_same_fold-OctaFull-LUMO-inv-noH-ns48-d64-l3-vector-node,OctaFull,LUMO,default,global,True,1.0218268036842346,0.10754974058839917,1.8614248991012574,0.22019055174243868
cv10-HS_LS_same_fold-OctaFull_emb-LUMO-inv-noH-ns48-d64-l3-vector-node,OctaFull,LUMO,default,global,True,0.32585963904857634,0.03435255009844095,0.568508380651474,0.0827725637944093
cv10-random-OctaFull-LUMO-inv-noH-ns48-d64-l3-vector-node,OctaFull,LUMO,default,global,True,0.9092263221740723,0.12192296708016016,1.7052055239677428,0.245950837380312
cv10-random-OctaFull_emb-LUMO-inv-noH-ns48-d64-l3-vector-node,OctaFull,LUMO,default,global,True,0.29425211399793627,0.02966893504760778,0.4897115588188171,0.059737984975144154
train_valid-OctaFull-LUMO-inv-noH-ns48-d64-l3-vector-node,OctaFull,LUMO,default,global,True,1.6909868717193604,,2.643683910369873,
train_valid-OctaFull_emb-LUMO-inv-noH-ns48-d64-l3-vector-node,OctaFull,LUMO,default,global,True,0.8481867909431458,,1.292835354804993,
cv10-HS_LS_same_fold-OctaFull-LUMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,LUMO,default,local,True,1.1952734231948852,0.10927972238227236,2.140599322319031,0.170514224805435
cv10-HS_LS_same_fold-OctaFull_emb-LUMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,LUMO,default,local,True,0.3059157431125641,0.02979669177499125,0.5340339332818985,0.06958220724178099
cv10-random-OctaFull-LUMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,LUMO,default,local,True,1.044121927022934,0.09689368334806782,1.9154143810272217,0.1350847904623477
cv10-random-OctaFull_emb-LUMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,LUMO,default,local,True,0.27814677357673645,0.020807827222862996,0.47796722650527956,0.04156947514799047
train_valid-OctaFull-LUMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,LUMO,default,local,True,1.4136371612548828,,2.3236207962036133,
