refcode,gap
ABAJIX,3.2051
ACODUR,4.3761
ADEQUY,2.7109
AENNIN,3.7889
AFAVIO,3.6347
AGEZIW,2.4058
AGOZUR,3.4287
AHABER,2.5633
AHIGOO,3.0023
AJALIH,2.5082
ALEQEO,3.4666
AQIYII,3.4526
AQUGEY,2.3844
AQUGIF,2.7079
ARIRIC,3.4018
AWESAY,3.1139
BAJWOZ,2.5877
BEMNAK,3.341
BEQYOM,2.977
BEZLOH,3.3828
BGUCRM,3.5591
BIJJAG,2.5458
BIKDAA,3.0652
BINCOR,2.5868
BIXWOX,2.6436
BOMVEF,3.3015
BONGEQ,2.8941
BORFET,3.3064
BOTHEX,4.3103
BUBHEM,3.764
BUBLEQ,2.7506
BUXJEJ,2.7816
BUXYIE,1.4996
CAFZAM,2.2434
CAGCIW,1.6482
CAHCOP,3.0449
CAHQEH,3.1226
CAPZAW,2.5185
CEDXIT,4.0249
CEKJIO,1.9939
CEPFEI,2.1132
CESGOW,1.9611
CETGOX,3.7615
CETJIU,2.594
CIDVOA,1.6528
CIHJEJ,2.9421
CIMGOU,4.5745
CMNMVK,4.0678
CODLEO,2.4661
COIMAC10,3.5852
COKLOD,3.7884
CORSUA,1.7071
CUJSAD,2.1394
CURVOB,2.7187
CUVGOP01,1.9074
CUWSIW,2.7274
CUZBUU,3.1782
CUZWUR,1.4697
DABQED,2.3822
DAGFAT,1.9099
DAJVIT,3.2164
DAKNEI,3.3158
DAPQOD,1.767
DAQXEY,2.0594
DEGJEF,2.3071
DEKFEH,3.3719
DEXFAN,2.8894
DIBHIF,4.0111
DIGJEJ,3.5443
DIMPEU11,3.7936
DIXXEP,2.8853
DOFZAA,3.6611
DOHXED,2.4212
DORZEP,4.1586
DOVTUD,2.8349
DOZQIV,2.7252
DPBPCR,2.0874
DUCQIC,1.9494
DUDTUS,3.4014
DUPMUX,2.2599
EACMCO,3.0655
EAMNCR10,3.8394
ECEXIU,2.1052
ECOPAO,2.3158
EDAMEE,2.7233
EDECEX,1.72
EDOZAA,2.8298
EHIJEM,3.3774
EKOXOR,3.4126
ELUSUB,2.2357
ENUREM,2.4919
EQEFAI,2.5141
ERIPEB,2.8355
ERIQIG,2.0711
ERUXIZ,3.4301
ETAKIT,2.3439
EWANAR,1.9667
EXOVIX,3.3989
EYITAJ,2.4479
FAZPEE,2.6136
FEGVUJ,2.818
FEHNOV,2.6315
FEWGIX,3.5977
FIGMEQ,3.9033
FIHFIO,2.1941
FIPWEG,4.0068
FIWLEE,3.6539
FOCSOF,3.0521
FOQBOC,1.8001
FOXCOM,1.8019
FOXGAB,2.0532
FURPEO,1.5815
GADTIS,1.9921
GAGVUG,2.8437
GAZHAQ,3.523
GEGBUQ,2.583
GELBII,3.8057
GEPPEX,2.1983
GEZGEA,2.3721
GIGGUZ,1.5473
GOFXIK,2.4585
GOHDEN,1.8102
GUCBAJ,1.9694
GUWWAW,2.4093
GUZTIH,2.5311
HAFRAI,2.8419
HAGHOO,3.3465
HAHHII,2.8473
HAHYAR,1.6231
HAKPUF,3.2054
HANJIP,3.3907
HASJEQ,3.0621
HAVRII,2.4244
HAXCOA,3.3065
HAXXOU,1.4522
HERGUG,3.4368
HERHAN,3.0853
HEYNOO,2.9774
HIMKOE,2.5424
HIMLIZ,2.1796
HINTUU,3.4046
HIPLIC,2.8936
HIPLOI,2.7713
HIXZUJ,2.7195
HOHCAI,3.2045
HONZIT,2.6983
HOYHOS,1.3193
HUBLUM,2.2287
HUBMUN,2.114
HUDGOC,3.5372
HURSAR,2.9683
HUYDUB,1.9796
IBEGIH,2.3212
ICASOV,2.1953
ICATIS,1.1089
IFOPAU,2.2499
IGUREJ,2.8601
IHUDUL,3.6919
IJEZIJ,3.9516
ILASOE,3.8575
ILATEV,3.0858
INEDEM,2.7118
INUVUL,2.6011
IPIBUE,3.219
IPIYEM,2.5627
ISIPUV,2.0581
ISOWOC,3.9774
ITEXAH,2.7258
ITOQIS,2.4833
IVEQEF,2.6143
IVUTEY,1.8141
JACCUP,3.6875
JAPTAV,2.4691
JASCEL,3.6589
JAZCAO,2.585
JEDJAE,3.1959
JODWII,1.8767
JODWUU,2.6111
JONMEE,3.4441
JOWGEH,2.7183
JOXCOQ,1.6697
JUDRAD,1.457
JURHIN,2.1632
JUWGUD,2.1958
KAFLUA,1.5497
KAGJOU,2.8101
KAHDOP,3.4131
KAKVUO,3.5426
KANYON,3.2532
KAPPEW,1.9519
KAXMIF,2.1012
KEHJOY,2.9183
KEHREV,2.852
KIDMEQ,3.0644
KIJXAC01,2.6149
KIKNUQ,0.9739
KISKON,3.4561
KOBREZ,2.5102
KOBTOL,3.0821
KOZZEE01,4.0962
KUBGOD,4.1821
KUGNEG,4.6384
KUGWIT,2.2385
KULBUO,1.8293
KUWWAC,1.3975
LADCIC,1.8608
