run_id,name,epoch,test_rmse,test_score,val_score_best,lr,n_s,n_v,noH,arch,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,classification,embedding_specs,distance_emb_dim,internal_weights
2muggmf9,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,312,1.6013997793197632,1.175503492355347,1.1481854915618896,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/9_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
8vqd75fh,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,392,1.698457956314087,1.1972051858901978,1.1209566593170166,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/7_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
flwhav8j,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,325,1.864615559577942,1.3388036489486694,1.1331731081008911,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
fqditwrj,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,297,1.7510331869125366,1.2639694213867188,1.0633333921432495,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/3_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
npgmtaur,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,256,1.8638049364089968,1.2336541414260864,1.0633362531661987,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/6_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
ol5y5afi,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,367,1.9641743898391724,1.3411675691604614,1.106544852256775,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/5_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
orrjqpiw,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,296,1.6882306337356567,1.175573468208313,1.0853115320205688,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/2_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
xd31j5hh,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,329,1.5766053199768066,1.0509164333343506,1.0996391773223877,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/4_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
xtq8qss6,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,396,1.739830493927002,1.215582013130188,1.1116575002670288,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/1_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
yiq2ve7f,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,239,1.8953129053115845,1.3146235942840576,1.061166524887085,0.001,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/8_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,16,
1b1iw40o,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,378,1.5463922023773191,0.929336667060852,0.9689996242523192,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/9_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
2nhplmh3,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,472,1.9115434885025024,1.1463016271591189,0.9355663657188416,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/1_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
47cmvq7w,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,433,1.822742819786072,1.1304277181625366,0.9237857460975648,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/8_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
5kn9gorm,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,433,2.0651636123657227,1.155111312866211,0.956526517868042,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/6_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
5yizfu6l,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,483,1.8575888872146609,1.1172921657562256,1.0536766052246094,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/7_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
cpaf072t,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,328,1.944076418876648,1.2037590742111206,1.0685874223709106,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
e0p9b903,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,328,1.7784913778305054,1.1163996458053589,0.968959629535675,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/3_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
nbok02pt,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,371,1.872020959854126,1.0908540487289429,1.0478228330612185,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/2_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
wrc2m279,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,451,1.854876160621643,1.0728164911270142,0.9535428881645204,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/4_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
x3nufu6v,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,512,2.0295541286468506,1.2981643676757812,1.045251727104187,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/5_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
1a1mtieb,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,330,1.7477251291275024,1.1765300035476685,1.1958136558532717,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/9_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
1me7xccu,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,249,1.861806869506836,1.2305216789245603,1.0847516059875488,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/2_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
23p7v76d,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,206,2.1476407051086426,1.2951538562774658,1.2247949838638306,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/3_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
ctglshil,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,346,2.19254732131958,1.4151901006698608,1.2115167379379272,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/1_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
