run_id,name,epoch,test_rmse,test_score,val_score_best,lr,n_s,n_v,noH,arch,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,classification,embedding_specs,distance_emb_dim,internal_weights
tebtmft4,train_valid-OctaLow_emb_low-splitting-inv-noH-ns64-d16-l3-vector-both,439,5.485837459564209,3.768533706665039,2.9663496017456055,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/train_valid_1806/0_test_indices.txt,both,0.0,True,vector,0.599,torchchem_v1,1e-05,50,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",16,False
t70b2u7n,cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d32-l3-vector_masked-both,365,4.586867332458496,3.0448055267333984,2.903866767883301,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_1806/8_test_indices.txt,both,0.0,True,vector_masked,0.801,torchchem_v1,1e-05,25,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",32,False
ezx6w3bj,cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d32-l3-vector_masked-both,231,4.186771869659424,2.9161486625671387,2.854682445526123,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_1806/7_test_indices.txt,both,0.0,True,vector_masked,0.801,torchchem_v1,1e-05,25,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",32,False
bx020j8j,cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d32-l3-vector_masked-both,216,4.618131160736084,3.011695384979248,3.129800319671631,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_1806/9_test_indices.txt,both,0.0,True,vector_masked,0.801,torchchem_v1,1e-05,25,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",32,False
afdgye72,cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d32-l3-vector_masked-both,283,5.123614311218262,3.2073214054107666,3.1586270332336426,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_1806/6_test_indices.txt,both,0.0,True,vector_masked,0.801,torchchem_v1,1e-05,25,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",32,False
9xofhruk,train_valid-OctaLow_emb_low-splitting-inv-noH-ns64-d32-l3-vector_masked-both,275,5.156803131103516,3.4646081924438477,3.001636266708374,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/train_valid_1806/0_test_indices.txt,both,0.0,True,vector_masked,0.599,torchchem_v1,1e-05,25,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",32,False
t4wwuukq,cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d32-l3-vector_masked-both,320,4.032260417938232,2.769784450531006,2.817131757736206,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_1806/0_test_indices.txt,both,0.0,True,vector_masked,0.8,torchchem_v1,1e-05,25,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",32,False
pliq83fy,cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d16-l3-vector-both,339,5.660319805145264,3.5079493522644043,2.8226232528686523,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_1806/9_test_indices.txt,both,0.0,True,vector,0.801,torchchem_v1,1e-05,50,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",16,False
ljdqw627,cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d16-l3-vector-both,269,4.303206920623779,3.0336599349975586,2.8063371181488037,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_1806/4_test_indices.txt,both,0.0,True,vector,0.8,torchchem_v1,1e-05,50,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",16,False
j01enidm,cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d16-l3-vector-both,374,4.972632884979248,3.390758514404297,2.7205870151519775,0.0005,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_1806/8_test_indices.txt,both,0.0,True,vector,0.801,torchchem_v1,1e-05,50,3,splitting,False,"{""low_spin"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",16,False
