name,dataset,target,geometry,scope,invariant,mae_mean,mae_std,rmse_mean,rmse_std
cv10-HS_LS_same_fold-OctaFull-HOMO-inv-noH-ns64-d64-l2-vector-node,OctaFull,HOMO,default,global,True,0.8719250857830048,0.12760941269952447,1.6358450651168823,0.2293624306821081
cv10-random-OctaFull-HOMO-inv-noH-ns64-d64-l2-vector-node,OctaFull,HOMO,default,global,True,0.7514436304569244,0.06652957983472858,1.4531264424324035,0.17099333776796816
train_valid-OctaFull-HOMO-inv-noH-ns64-d64-l2-vector-node,OctaFull,HOMO,default,global,True,1.8961838483810425,,3.088339567184448,
cv10-HS_LS_same_fold-OctaFull-HOMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,HOMO,default,local,True,1.0512145519256593,0.07310608639474887,1.851106584072113,0.13389143780025228
cv10-random-OctaFull-HOMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,HOMO,default,local,True,0.9413241446018219,0.08274442065040696,1.6562203526496888,0.14684861765646484
train_valid-OctaFull-HOMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,HOMO,default,local,True,1.3664724826812744,,2.1264278888702397,
cv10-HS_LS_same_fold-OctaFull-LUMO-inv-noH-ns48-d64-l3-vector-node,OctaFull,LUMO,default,global,True,1.0218268036842346,0.10754974058839917,1.8614248991012574,0.22019055174243862
cv10-random-OctaFull-LUMO-inv-noH-ns48-d64-l3-vector-node,OctaFull,LUMO,default,global,True,0.9092263221740723,0.12192296708016016,1.7052055239677428,0.245950837380312
train_valid-OctaFull-LUMO-inv-noH-ns48-d64-l3-vector-node,OctaFull,LUMO,default,global,True,1.6909868717193604,,2.643683910369873,
cv10-HS_LS_same_fold-OctaFull-LUMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,LUMO,default,local,True,1.1952734231948852,0.10927972238227236,2.140599322319031,0.17051422480543493
cv10-random-OctaFull-LUMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,LUMO,default,local,True,1.044121927022934,0.09689368334806782,1.9154143810272217,0.1350847904623477
train_valid-OctaFull-LUMO-inv-noH-ns64-d64-l3-vector_masked-node,OctaFull,LUMO,default,local,True,1.4136371612548828,,2.3236207962036133,
cv10-HS_LS_same_fold-OctaFull-gap-inv-noH-ns64-d32-l2-vector-node,OctaFull,gap,default,global,True,0.473806095123291,0.01899083242522063,0.6968997716903687,0.03542545270355604
cv10-random-OctaFull-gap-inv-noH-ns64-d32-l2-vector-node,OctaFull,gap,default,global,True,0.4654309570789337,0.027002484115560367,0.673807555437088,0.02522266317171106
train_valid-OctaFull-gap-inv-noH-ns64-d32-l2-vector-node,OctaFull,gap,default,global,True,0.5999385118484497,,0.8310375809669495,
cv10-HS_LS_same_fold-OctaFull-gap-inv-noH-ns48-d48-l3-vector_masked-both,OctaFull,gap,default,local,True,0.4917982667684555,0.02867828334341952,0.7206678092479706,0.045656917712674085
cv10-random-OctaFull-gap-inv-noH-ns48-d48-l3-vector_masked-both,OctaFull,gap,default,local,True,0.4796258509159088,0.02585681777797578,0.7069550693035126,0.04457603264137733
train_valid-OctaFull-gap-inv-noH-ns48-d48-l3-vector_masked-both,OctaFull,gap,default,local,True,0.5665007829666138,,0.825038731098175,
cv10-random-OctaLow-splitting-inv-noH-ns64-d16-l3-vector-both,OctaLow,splitting,default,global,True,4.593193602561951,0.3163085715508765,7.096232748031616,0.6879321709930417
train_valid-OctaLow-splitting-inv-noH-ns64-d16-l3-vector-both,OctaLow,splitting,default,global,True,4.5826191902160645,,6.823130130767822,
cv10-random-OctaLow-splitting-inv-noH-ns64-d32-l3-vector_masked-both,OctaLow,splitting,default,local,True,4.499830150604248,0.2765031416253158,6.981809282302857,0.6882453989878509
train_valid-OctaLow-splitting-inv-noH-ns64-d32-l3-vector_masked-both,OctaLow,splitting,default,local,True,4.87775993347168,,7.610978126525879,
