refcode,gap
ABIVAK,0.07307
ADAPUT,0.10312
AFUPUO,0.08632
AGOBEE,0.13376
AGOQET,0.10309
AHUYAF,0.09653
AJIXUO,0.11634
AJODEI,0.01087
AJOXED,0.09837
AJUWAF,0.13184
AQAJIN,0.12231
AQIDIP,0.07626
ASOZEP,0.1208
ATAKOX,0.11144
AXESIG,0.13246
AZIFOG,0.09419
BAHFUO,0.06059
BAHGAV,0.05417
BAKZEU,0.11381
BAZBIP,0.05875
BAZYEG,0.0766
BECHID,0.04047
BEKZUP,0.09383
BELVUM,0.07407
BEVCUC,0.11339
BEVDIR,0.10738
BEVDOX,0.11227
BIRMOE,0.1121
BIYHEY,0.12963
BOFDOR,0.09734
BOHHEO,0.10853
BOKYAC,0.12624
BONTAA,0.1077
BOSXOX,0.10714
BOSYUF,0.10063
BOTXUF,0.09836
BUBKIT,0.11606
BUCGOX,0.08469
BUFZIN,0.05914
BULJEY,0.05352
BUNJUR,0.08956
BUXVOG,0.07845
BUZHEL,0.12698
CADYIS,0.09831
CARBUU,0.11044
CEFYUK,0.06914
CEQGAJ,0.09997
CEYWEK,0.10772
CIGNUE,0.11915
CINRIC,0.11123
CIXGIA,0.07684
CIYLAZ,0.08071
CODRET,0.0753
COMHUJ,0.06565
COSJEB,0.05486
CUBDOT,0.09171
CUDBOU,0.06969
CUPTUE,0.08642
CUXYEB,0.07254
DACRAB,0.05406
DAGCAS,0.1122
DAGHUP,0.09523
DAPJUC,0.07924
DAQZIG,0.13051
DASFOU,0.04787
DAXDUD,0.0783
DAYHAM,0.10854
DAYLIA,0.07954
DEDHAY,0.10119
DIFPAM,0.13558
DIGVEW,0.10843
DIKKOY,0.0639
DIZCEV,0.07379
DOKWOR,0.06566
DOTWEQ,0.10993
DOVMUX,0.10811
DOWJEE,0.08771
DUCCAG,0.09227
DUZLUH,0.08402
EBOGEK,0.08445
EBOGOU,0.07794
EBOROD,0.05321
ECEKAA,0.04684
EDEGOJ,0.02688
EDOGUA,0.10669
EFEVUH,0.12141
EGETOB,0.07978
EHAPOT,0.08581
EHEBOK,0.09121
EJAMIM,0.12876
EJANOT,0.12612
EJUBIV,0.09828
EKUPEH,0.12222
ELODOA,0.07888
EMAFON,0.09391
EMUKEC,0.10074
EPOZUF,0.09527
ESIRII,0.15428
ESOMAB,0.0814
EVADUC,0.09946
EVETEG,0.08105
EVETOQ,0.08106
EXIQEH,0.05462
EXIQOR,0.05464
FAMQUI,0.1169
FAWYIM,0.18249
FEBGUP,0.10106
FECTEP,0.06663
FECVAN,0.07535
FEKLAJ,0.08134
FELGIP,0.09275
FEMZUV,0.09339
FEQYUY,0.06488
FESFAN,0.11734
FIDKAH,0.14502
FOQHID,0.10977
FUDSON,0.114
FUGBAM,0.09966
GABLAZ,0.0976
GAFYAO,0.04844
GAXLID,0.08379
GEBQOV,0.10423
GEGZEZ,0.11048
GEMXED,0.0988
GEQXIK,0.12264
GEQXOQ,0.10936
GIDKOV,0.10736
GIDLIQ,0.10748
GIGSUL,0.09822
GIJDUZ,0.09456
GINSIH,0.10874
GIYBIC,0.08461
GIYBUO,0.1014
GONHEW,0.06778
GOQHID,0.07559
GOYTAR,0.11467
GUFRUU,0.11757
GUKHUR,0.1246
GUWNUJ,0.09827
HACFID,0.08547
HAKHEG,0.1236
HAKHIK,0.12737
HAMCAZ,0.08942
HAMJEK,0.08958
HAMKAH,0.08951
HAPSOJ,0.11979
HASMEW,0.09513
HATLAR,0.18189
HAVBOW,0.12274
HAVGUI,0.09024
HAVTOQ,0.101
HAXFAQ,0.12378
HAZHOH,0.10262
HIJHEP,0.08783
HIQBIS,0.10892
HIWJON,0.17141
HUBCUD,0.10159
HUPTET,0.10851
HUTWID,0.11265
ICEGOO,0.04351
ICOJOB,0.09838
ICOKAO,0.09455
IFUJOK,0.09564
IGOCEN,0.11553
IGOCIR,0.11698
IHOYAH,0.06247
IKISEC,0.05458
ILEHAK,0.06269
IMAZUR,0.14356
IMOYUF,0.04143
INOFAU,0.11205
ISIXEP,0.094
ISIYIU,0.12169
