refcode,total_charge,multiplicity,n_atoms,n_elecs,HOMO,LUMO,gap,dipole_moment_Debye,Dispersion_E,Metal_q,Polarizability
ABIPIK,0,1,111,382,-0.16783,-0.0875,0.08033,0.4901,-0.194924,0.68719,538.700957
ABISOV,0,1,47,238,-0.15192,-0.07883,0.07309,15.3955,-0.102963,0.23204,314.53342
ABITEM,0,1,47,238,-0.1514,-0.07863,0.07277,15.3991,-0.102956,0.2329,314.545816
ABIVAK,0,1,47,238,-0.15184,-0.07877,0.07307,15.3993,-0.102979,0.23255,314.5331
ABOXOG,1,1,64,392,-0.28188,-0.19897,0.08291,9.3483,-0.126167,-0.7695,488.882458
ABOYAT,1,1,76,392,-0.26066,-0.18592,0.07474,4.621,-0.133214,-0.76937,501.42814
ABOYOH,1,1,100,422,-0.32586,-0.17465,0.15121,4.739,-0.192861,-1.42575,552.515347
ACASOO,0,1,79,368,-0.17976,-0.10449,0.07527,3.5726,-0.168969,0.75463,526.310987
ACIPAG,1,1,151,490,-0.3241,-0.15193,0.17217,13.2821,-0.2481,0.43235,674.280998
ACOWAS,0,1,51,206,-0.19324,-0.04341,0.14983,0.0006,-0.089843,0.10446,259.683391
ACOWIA,0,1,75,368,-0.19354,-0.05759,0.13595,0.009,-0.174619,1e-05,503.30699
ACOXEX,0,1,75,400,-0.19699,-0.05813,0.13886,0.0055,-0.175887,-0.05396,504.501489
ACUQUN,0,1,87,418,-0.16406,-0.08382,0.08024,3.1489,-0.193739,0.41156,525.167125
ACURAU,0,1,87,434,-0.16845,-0.08682,0.08163,3.2729,-0.195006,0.41344,526.044781
ACUSOJ,1,1,63,324,-0.2719,-0.17168,0.10022,12.3432,-0.134155,0.38025,394.666078
ACUTEA,1,1,43,276,-0.32856,-0.21988,0.10868,9.5274,-0.0946,-0.63842,323.556693
ACUTIE,1,1,44,268,-0.32601,-0.21843,0.10758,9.9038,-0.08989,-0.63531,315.87989
ADAPON,0,1,61,348,-0.17145,-0.06956,0.10189,1.5296,-0.133976,0.47064,422.375185
ADAPUT,0,1,61,332,-0.16988,-0.06676,0.10312,1.5344,-0.125211,0.46853,392.14949
ADOPUE,0,1,91,452,-0.20025,-0.07696,0.12329,0.0204,-0.166196,0.31797,496.958335
