refcode,HOMO,LUMO,gap,dipole_moment_Debye,Dispersion_E,Metal_q,Polarizability
ACOCUQ,-0.27035,-0.24367,0.02668,2.7287,-0.106156,0.67739,322.408526
ADIWIV,-0.1654,-0.11047,0.05493,4.7158,-0.194784,1.08981,573.414232
ADOMEO,-0.17019,-0.13418,0.03601,2.654,-0.105161,0.38991,357.803826
ADOMIS,-0.17015,-0.13415,0.036,2.6554,-0.105155,0.38976,357.804587
AFOYOM,-0.14985,-0.08156,0.06829,15.5145,-0.104555,0.21718,325.926287
AFOYUS,-0.15041,-0.08129,0.06912,15.3554,-0.104688,0.21982,325.930448
AFOZON,-0.1503,-0.08144,0.06886,15.442,-0.104599,0.21643,325.914235
AFOZUT,-0.15097,-0.08157,0.0694,15.2717,-0.104811,0.21901,325.912801
AFUJIX,-0.15092,-0.0817,0.06922,15.4102,-0.104761,0.21861,325.914288
AFUJOD,-0.15035,-0.08119,0.06916,15.3085,-0.104685,0.2201,325.928044
AGUDIQ,-0.15682,-0.05818,0.09864,1.0919,-0.105977,0.68067,320.343017
ALOKOB,-0.17616,-0.08063,0.09553,0.0002,-0.147234,1.26049,439.93132
ALOKUH,-0.16274,-0.06984,0.0929,0.0013,-0.20714,1.1716,566.485036
ALOVIH,-0.26866,-0.20988,0.05878,7.5316,-0.150604,0.62931,446.123983
ARADOO,-0.14076,-0.08217,0.05859,2.9133,-0.165408,0.34678,490.512012
AROMAW,-0.17979,-0.10148,0.07831,5.5952,-0.046961,0.71973,174.326878
AROMOK,-0.20045,-0.10135,0.0991,2.8607,-0.067982,0.11633,216.547124
ARUFOJ,-0.15966,-0.09622,0.06344,5.9195,-0.198818,0.47854,493.943119
ARUGAW,-0.15641,-0.10065,0.05576,7.2564,-0.19891,0.50908,512.693072
ARUGIE,-0.21308,-0.10452,0.10856,8.0096,-0.192257,0.96688,507.020469
ATAXAW,-0.14979,-0.0755,0.07429,9.9372,-0.130657,0.41106,368.491715
AWURAL,-0.08412,0.0062,0.09032,5.417,-0.169417,-0.00026,461.645683
AYALAN,-0.16684,-0.10249,0.06435,5.2405,-0.091391,0.78537,270.588729
AZAQOJ,-0.17967,-0.06686,0.11281,2.5817,-0.10857,1.18818,353.562979
BAJVOZ,-0.16146,-0.08585,0.07561,8.8484,-0.067048,0.91467,201.735135
BAMNOU,-0.14937,-0.09002,0.05935,6.6222,-0.153818,0.41185,461.329352
BAPZAT,-0.17272,-0.16286,0.00986,1.8367,-0.127269,0.7055,398.789443
BAPZIB,-0.16227,-0.13546,0.02681,6.309,-0.120981,0.74089,394.616392
BASLOW,-0.22619,-0.16255,0.06364,9.1951,-0.09582,0.86752,292.871929
BAWSOH,-0.14647,6e-05,0.14653,0.0014,-0.121315,-1.18114,298.922082
BAXFIS,-0.19266,-0.04048,0.15218,0.0,-0.098923,0.24893,287.035328
BAXXAB,-0.1458,-0.06492,0.08088,13.6925,-0.08822,0.41103,265.212223
BAYTEC,-0.17694,-0.07937,0.09757,0.0001,-0.086064,0.73584,305.586549
BAYTIG,-0.1786,-0.08042,0.09818,0.0017,-0.146272,0.7344,421.798688
BAYZEH,-0.14789,-0.08552,0.06237,16.1887,-0.18437,0.27086,481.08909
BEDLEC,-0.16712,-0.03265,0.13447,0.0004,-0.082866,0.4798,253.039684
BEDLIG,-0.17666,-0.06861,0.10805,0.0093,-0.284921,0.92608,623.769535
BEFNIM,-0.14446,-0.08709,0.05737,0.0093,-0.185473,0.353,557.244778
BEFNOS,-0.14522,-0.08796,0.05726,0.0112,-0.186835,0.34949,570.50019
BEGXOB,-0.1535,-0.09413,0.05937,11.4715,-0.124122,0.2502,380.003136
BEKVUJ,-0.26073,-0.25213,0.0086,0.0684,-0.040198,0.53103,173.430951
BEMWEW,-0.17254,-0.12908,0.04346,0.6418,-0.081268,0.87233,312.351222
BEPRET,-0.17055,-0.12219,0.04836,2.906,-0.103789,0.71962,372.239036
BEPTEW,-0.05346,-0.00069,0.05277,0.0042,-0.056677,0.35411,210.835385
BEPTIA,-0.18986,-0.12825,0.06161,2.1744,-0.05474,0.50088,201.869922
BEPVUN,-0.16471,-0.11682,0.04789,2.7606,-0.119344,0.72916,418.28024
BEQCUX,-0.16272,-0.1063,0.05642,6.559,-0.210521,0.75785,532.887166
BEQDAE,-0.18049,-0.13326,0.04723,6.3036,-0.257784,0.86654,697.391842
BEXMIC,-0.18458,-0.11023,0.07435,0.0121,-0.077015,0.65818,283.513333
BEXMOI,-0.18443,-0.10914,0.07529,0.0201,-0.076062,0.65915,283.538245
BEXMUO,-0.18119,-0.11516,0.06603,0.0178,-0.11047,0.6639,382.453978
BEXNAV,-0.17673,-0.11409,0.06264,3.4328,-0.111723,0.66015,382.471362
BEXXOT,-0.1356,-0.09869,0.03691,0.0041,-0.11035,0.29399,377.904993
BEYREE,-0.22247,-0.10868,0.11379,11.8904,-0.068416,1.55082,238.473758
BEZCAK,-0.11881,-0.06167,0.05714,2.3821,-0.12226,0.624,398.600423
BICNAC,-0.18353,-0.08443,0.0991,4.7139,-0.072924,0.37153,231.662416
BODQOC,-0.10557,-0.01101,0.09456,19.2316,-0.06614,-0.49522,229.053514
BOFFIL,-0.1906,-0.10196,0.08864,0.0136,-0.053372,0.74305,176.894295
BOJLUI,-0.16239,-0.1167,0.04569,0.0005,-0.136217,0.37425,460.009708
BOJMAP,-0.17415,-0.09505,0.0791,0.0342,-0.193529,0.3028,564.045257
BOQFUL,-0.15141,-0.00537,0.14604,0.0,-0.15121,0.22157,407.99709
BOWNIL,-0.14939,-0.08939,0.06,0.2051,-0.112192,0.32938,335.040235
BUCVOL,-0.16564,-0.09825,0.06739,3.1868,-0.103284,0.66819,332.453048
BUJJEW,-0.18403,-0.13434,0.04969,0.3672,-0.107553,-0.01951,316.694354
BUKVEJ,-0.15873,-0.06398,0.09475,5.2575,-0.129352,0.42255,370.26026
CAHGUQ,-0.27035,-0.21245,0.0579,2.0945,-0.119497,0.60132,329.782614
CAHHEB,-0.27027,-0.21241,0.05786,2.1007,-0.119465,0.60428,329.784731
CAHYOB,-0.1581,-0.14156,0.01654,0.4964,-0.20344,0.8804,596.669118
CAPMOW,-0.15417,-0.11158,0.04259,2.8162,-0.151942,0.59342,446.613291
CAQVEX,-0.15302,-0.0679,0.08512,0.0226,-0.104919,0.48549,342.798127
CASYOL,-0.15434,-0.14441,0.00993,9.7911,-0.11849,0.59902,355.358135
CAWCIP,-0.28872,-0.19579,0.09293,13.5185,-0.120634,1.11015,375.428549
CAWCOV,-0.29594,-0.19748,0.09846,12.0363,-0.126914,0.18736,374.294219
CAWDAI,-0.2728,-0.20612,0.06668,12.4022,-0.123551,0.63527,383.452798
CAXVAZ,-0.28825,-0.23394,0.05431,7.325,-0.081014,0.7761,225.016617
CAXVOP,-0.15611,-0.08593,0.07018,0.017,-0.203686,0.65775,583.798886
CAYCAH,-0.16556,-0.13657,0.02899,1.8628,-0.193907,0.40986,524.998253
CENXOI,-0.13372,-0.07782,0.0559,12.9062,-0.062016,0.6439,193.585593
CENYOJ,-0.13252,-0.07681,0.05571,13.9655,-0.049041,0.63223,170.511516
CESTOJ,-0.15012,-0.09758,0.05254,1.5583,-0.242282,0.60563,654.807251
CEVXOT,-0.12953,-0.10318,0.02635,0.0,-0.238244,0.74194,758.025413
CEXXIM,-0.14329,-0.13827,0.00502,1.6868,-0.103396,-0.08262,362.434847
CIFZIB,-0.24168,-0.23523,0.00645,8.64,-0.232444,0.12666,599.885379
CIHVUK,-0.11357,-0.01758,0.09599,2.3905,-0.098155,-0.26149,269.958869
CIKGUB,-0.16403,-0.07665,0.08738,1.828,-0.150116,0.12833,444.441476
CIKHAI,-0.02663,0.04215,0.06878,9.0637,-0.139201,0.06297,444.741287
CIKHEM,-0.02297,0.06354,0.08651,9.8451,-0.162295,0.09758,450.84212
CIKZON,-0.05967,-0.01401,0.04566,2.5873,-0.095386,0.58483,313.450137
CIRQUP,-0.19045,-0.12944,0.06101,6.3623,-0.186025,0.71206,490.525625
CIVRAC,-0.18032,-0.09415,0.08617,0.2245,-0.079837,0.63494,287.925292
COBZOL,-0.12322,-0.09689,0.02633,0.0491,-0.223062,0.77371,644.283858
CODXEB,-0.21492,-0.09403,0.12089,5.8085,-0.165019,1.14302,473.513951
CUQVIV,-0.18039,-0.0925,0.08789,4.7052,-0.143922,0.0228,418.536616
CUWSIW,-0.11785,-0.05761,0.06024,5.9929,-0.233284,-0.30108,580.684629
DABQII,-0.16445,-0.07965,0.0848,15.4009,-0.179814,-0.29932,545.090747
DABQOO,-0.16432,-0.08027,0.08405,15.4571,-0.18005,-0.29761,545.100276
DACHOG,-0.1551,-0.05221,0.10289,6.6882,-0.179367,0.70697,507.699687
DACJUN,-0.17123,-0.09502,0.07621,5.5416,-0.149961,0.34383,502.972634
DADHUN,-0.17452,-0.06697,0.10755,22.4033,-0.274891,0.25017,661.191799
DAHCAQ,-0.15102,-0.06601,0.08501,0.4117,-0.102693,0.68099,307.023268
DALDEA,-0.1193,-0.0618,0.0575,2.3197,-0.12231,0.62415,398.614142
DALQAL,-0.1342,-0.04924,0.08496,5.7951,-0.138492,0.27194,365.170368
DECKAZ,-0.15719,-0.07613,0.08106,7.5247,-0.070581,0.04875,204.977346
DECKIH,-0.1592,-0.08404,0.07516,7.7634,-0.084524,0.18593,228.006239
DECLAA,-0.14911,-0.08061,0.0685,11.813,-0.080504,0.32934,237.504526
DEDKII,-0.12822,0.00094,0.12916,0.0029,-0.118082,0.62617,352.176964
DEDLUV,-0.13373,-0.0177,0.11603,0.0,-0.093245,0.84171,324.202122
DEDMEG,-0.14764,-0.02682,0.12082,0.03,-0.089768,0.43753,305.879574
DEGROY,-0.181,-0.14803,0.03297,1.0579,-0.142305,0.87644,472.906488
DELPES,-0.17723,-0.1281,0.04913,13.3199,-0.175208,1.09484,532.509283
DEMBOP,-0.15951,-0.12847,0.03104,14.8726,-0.168936,0.3013,519.535779
DEMTOF,-0.20361,-0.16086,0.04275,7.3871,-0.065416,-0.08093,269.814185
DIDTOB,-0.17108,-0.1132,0.05788,13.8943,-0.071583,0.79335,240.009741
DIFXEX,-0.14563,-0.09357,0.05206,0.0199,-0.179337,0.3497,551.47404
DIGJAG,-0.17733,-0.14669,0.03064,4.0925,-0.101855,0.8275,298.310694
DIGJEK,-0.15377,-0.14511,0.00866,8.7026,-0.089639,0.85353,298.291941
DIVVEK,-0.17298,-0.06573,0.10725,4.41,-0.127893,1.79904,401.398339
DOFFUA,-0.13994,-0.06758,0.07236,0.0955,-0.120949,0.68896,321.900367
DOFGAH,-0.18573,-0.09644,0.08929,5.0542,-0.070497,0.32526,212.047723
DOMQIH,-0.1642,-0.09309,0.07111,11.5355,-0.157872,0.31155,460.839236
DOQRIK,-0.16612,-0.01211,0.15401,13.3738,-0.112327,0.50113,269.705173
DOVKAB,-0.15593,-0.08375,0.07218,0.6163,-0.083463,0.43746,286.610378
DOVKEF,-0.26304,-0.21059,0.05245,0.0026,-0.174704,0.62754,523.602509
DOVKUV,-0.16419,-0.09431,0.06988,1.016,-0.077049,0.46473,270.145894
DUCGIR,-0.19648,-0.13028,0.0662,9.5341,-0.046389,0.70185,163.81804
DUFLUM,-0.16474,-0.06837,0.09637,3.5613,-0.128617,0.68185,380.474785
DUMYAL,-0.38597,-0.24244,0.14353,0.1578,-0.056118,0.1821,166.559639
DUSGIJ,-0.18538,-0.08534,0.10004,14.072,-0.095809,0.20238,303.06845
DUYZII,-0.13169,-0.08152,0.05017,0.6429,-0.166784,0.74078,433.063093
EBIRAL,-0.14543,-0.08967,0.05576,0.006,-0.185886,0.35366,573.672658
EBIREP,-0.14536,-0.08971,0.05565,0.0145,-0.185671,0.35445,573.669906
EBOYOM,-0.20927,-0.17443,0.03484,1.2168,-0.170528,0.88941,569.19395
ECEKAA,-0.18528,-0.13844,0.04684,0.3421,-0.130073,-0.10821,448.299368
ECIJEF,-0.17569,-0.16642,0.00927,4.7178,-0.108091,0.9652,301.999516
ECIJIJ,-0.26648,-0.25225,0.01423,6.6101,-0.113006,0.68777,308.218466
ECOJAI,-0.18953,-0.14948,0.04005,5.8739,-0.132693,0.89881,379.410706
ECOVEY,-0.03604,0.04254,0.07858,5.2858,-0.062704,0.70598,245.130917
EDOYIF,-0.26617,-0.20993,0.05624,6.6134,-0.076591,0.72622,203.070255
EFEGED,-0.09804,0.01589,0.11393,2.0985,-0.253212,1.71757,717.870249
EGILIR,-0.34881,-0.09322,0.25559,6.7439,-0.085303,1.15016,214.073875
EKAPAJ,-0.15035,-0.09728,0.05307,2.2335,-0.12786,0.30631,397.743613
ESOCEV,-0.30792,-0.19012,0.1178,4.24,-0.112301,0.5198,328.935216
ESUNOV,-0.1802,-0.10371,0.07649,5.5991,-0.105461,0.33582,291.637755
ETOFOK,-0.13432,-0.07356,0.06076,2.5946,-0.168148,0.65056,555.399298
EYUQOG,-0.15705,-0.09911,0.05794,5.1508,-0.043773,0.75331,159.758012
EYURAT,-0.15643,-0.09744,0.05899,4.9425,-0.049241,0.77767,171.085734
EYUREX,-0.15107,-0.09338,0.05769,6.1691,-0.051601,0.75718,182.686737
EYUROH,-0.15878,-0.10354,0.05524,4.1431,-0.053752,0.77952,189.547337
FADVUC,-0.13894,-0.08712,0.05182,0.0092,-0.181145,0.3444,550.005538
FAGNAD,-0.15924,-0.11075,0.04849,0.0001,-0.122766,0.78449,379.801776
FARWEC,-0.01858,0.04151,0.06009,8.6584,-0.067062,0.61512,239.942893
FARWIG,-0.11335,-0.06994,0.04341,3.6,-0.082688,0.62013,265.34102
FASJUH,-0.12126,-0.06851,0.05275,0.0183,-0.135188,0.499,472.753285
FAWJOD,-0.16896,-0.0754,0.09356,0.6852,-0.110803,0.35815,385.716633
FAWJUJ,-0.16744,-0.07265,0.09479,1.9456,-0.151615,0.3555,478.732926
FEKPUJ,-0.22175,-0.10473,0.11702,5.8798,-0.072227,1.01547,262.332907
FEKQAQ,-0.21321,-0.11856,0.09465,2.9405,-0.145839,1.2001,451.192092
FEKQEU,-0.21036,-0.12649,0.08387,8.0428,-0.192483,1.31223,545.41398
FEKQIY,-0.21769,-0.12329,0.0944,11.2782,-0.169518,1.75851,469.866268
FEVFET,-0.14775,-0.09052,0.05723,5.1249,-0.109915,0.83906,329.461278
FEVXUA,-0.27981,-0.2285,0.05131,0.2473,-0.149367,0.65571,478.411316
FEXJEA,-0.20433,-0.06102,0.14331,5.8921,-0.271372,0.64035,723.100948
FEXWUC,-0.15569,-0.08608,0.06961,0.0019,-0.145938,0.42529,453.480678
FEYPOR,-0.1699,-0.14211,0.02779,0.3469,-0.272877,0.87771,723.1536
FEYWUD,-0.16281,-0.0841,0.07871,0.0013,-0.173465,0.28,489.107034
FEYYOA,-0.17763,-0.11556,0.06207,5.7461,-0.140443,0.48838,427.464364
FEZJEB,-0.17376,-0.09148,0.08228,8.1402,-0.136427,0.39593,416.212865
FEZSIM,-0.04305,-0.03029,0.01276,7.621,-0.033082,-0.53758,180.748509
FIHRET,-0.14308,-0.05115,0.09193,4.2012,-0.17184,0.14097,403.292836
