idx,point_group,point_group_chiral,rot633,rot589,rot355,rot633_sign,rot589_sign,rot355_sign
rot0,Cs,False,0.21,0.24,0.76,1.0,1.0,1.0
rot1,C1,True,-23.81,-28.06,-101.27,-1.0,-1.0,-1.0
rot2,C1,True,-20.62,-24.35,-90.14,-1.0,-1.0,-1.0
rot3,C1,True,-4.49,-5.39,-23.86,-1.0,-1.0,-1.0
rot4,C1,True,-2.32,-2.77,-11.82,-1.0,-1.0,-1.0
rot5,C1,True,-17.75,-20.76,-68.76,-1.0,-1.0,-1.0
rot6,C1,True,-38.88,-45.39,-146.68,-1.0,-1.0,-1.0
rot7,C1,True,-52.69,-61.47,-196.61,-1.0,-1.0,-1.0
rot8,C1,True,-51.4,-59.94,-190.68,-1.0,-1.0,-1.0
rot9,C1,True,-35.1,-40.93,-130.11,-1.0,-1.0,-1.0
rot10,C1,True,-14.17,-16.53,-53.01,-1.0,-1.0,-1.0
rot11,C1,True,-1.85,-2.17,-7.44,-1.0,-1.0,-1.0
rot12,Ci,False,0.03,0.04,0.06,1.0,1.0,1.0
rot13,C1,True,1.91,2.24,7.55,1.0,1.0,1.0
rot14,C1,True,14.22,16.59,53.08,1.0,1.0,1.0
rot15,C1,True,35.16,41.0,130.2,1.0,1.0,1.0
rot16,C1,True,51.51,60.06,190.95,1.0,1.0,1.0
rot17,C1,True,52.87,61.68,197.15,1.0,1.0,1.0
rot18,C1,True,39.13,45.68,147.5,1.0,1.0,1.0
rot19,C1,True,18.05,21.1,69.76,1.0,1.0,1.0
rot20,C1,True,2.59,3.08,12.72,1.0,1.0,1.0
rot21,C1,True,4.66,5.59,24.41,1.0,1.0,1.0
rot22,C1,True,20.78,24.54,90.65,1.0,1.0,1.0
rot23,C1,True,24.12,28.41,102.38,1.0,1.0,1.0
