idx,n_centers,rot633,rot589,rot355,rot589_sign,rot589_abs,rot633_sign,rot633_abs,rot355_sign,rot355_abs,point_group,is_point_group_chiral
079782,6,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cs,False
005049,0,-14.99,-12.5,-4979.91,-1.0,12.5,-1.0,14.99,-1.0,4979.91,C1,True
072010,4,-105.02,-123.84,-465.86,-1.0,123.84,-1.0,105.02,-1.0,465.86,C1,True
130188,0,61.61,72.63,278.57,1.0,72.63,1.0,61.61,1.0,278.57,C1,True
019995,2,44.72,52.2,168.78,1.0,52.2,1.0,44.72,1.0,168.78,C1,True
053722,0,36.38,45.62,725.14,1.0,45.62,1.0,36.38,1.0,725.14,C1,True
075220,2,-213.21,-250.16,-889.95,-1.0,250.16,-1.0,213.21,-1.0,889.95,C1,True
070139,2,-56.53,-71.46,-645.6,-1.0,71.46,-1.0,56.53,-1.0,645.6,C1,True
059637,2,-108.12,-127.81,-499.6,-1.0,127.81,-1.0,108.12,-1.0,499.6,C1,True
060316,1,-86.76,-101.49,-353.4,-1.0,101.49,-1.0,86.76,-1.0,353.4,C1,True
000164,2,-0.01,-0.01,-0.03,-1.0,0.01,-1.0,0.01,-1.0,0.03,Cs,False
004257,0,-0.49,-0.58,-2.4,-1.0,0.58,-1.0,0.49,-1.0,2.4,Cs,False
012504,0,314.0,378.9,2142.18,1.0,378.9,1.0,314.0,1.0,2142.18,C1,True
115595,2,80.58,93.39,272.61,1.0,93.39,1.0,80.58,1.0,272.61,C1,True
074567,3,531.89,646.01,4568.02,1.0,646.01,1.0,531.89,1.0,4568.02,C1,True
114470,4,28.28,31.67,38.04,1.0,31.67,1.0,28.28,1.0,38.04,C1,True
123265,0,0.13,0.15,0.51,1.0,0.15,1.0,0.13,1.0,0.51,Cs,False
077791,3,-282.26,-334.44,-1353.68,-1.0,334.44,-1.0,282.26,-1.0,1353.68,C1,True
059963,1,98.69,115.19,370.66,1.0,115.19,1.0,98.69,1.0,370.66,C1,True
061375,1,-33.31,-39.7,-573.06,-1.0,39.7,-1.0,33.31,-1.0,573.06,C1,True
043039,4,-155.85,-188.73,-1184.86,-1.0,188.73,-1.0,155.85,-1.0,1184.86,C1,True
089424,3,-370.75,-437.7,-1686.22,-1.0,437.7,-1.0,370.75,-1.0,1686.22,C1,True
013174,1,3.77,4.56,22.98,1.0,4.56,1.0,3.77,1.0,22.98,C1,True
025740,0,-39.73,-46.09,-139.12,-1.0,46.09,-1.0,39.73,-1.0,139.12,C1,True
050950,1,-108.27,-133.47,-1197.19,-1.0,133.47,-1.0,108.27,-1.0,1197.19,C1,True
074104,2,-87.5,-121.84,-3655.01,-1.0,121.84,-1.0,87.5,-1.0,3655.01,C1,True
086968,2,-17.34,-19.85,-49.24,-1.0,19.85,-1.0,17.34,-1.0,49.24,C1,True
010573,1,135.55,158.49,526.86,1.0,158.49,1.0,135.55,1.0,526.86,C1,True
087956,2,4.17,4.13,-27.92,1.0,4.13,1.0,4.17,-1.0,27.92,C1,True
100107,0,26.51,30.61,84.14,1.0,30.61,1.0,26.51,1.0,84.14,C1,True
000132,0,298.93,360.69,2386.2,1.0,360.69,1.0,298.93,1.0,2386.2,C1,True
060793,2,-167.04,-201.63,-1192.4,-1.0,201.63,-1.0,167.04,-1.0,1192.4,C1,True
100874,1,-97.54,-113.49,-349.88,-1.0,113.49,-1.0,97.54,-1.0,349.88,C1,True
