run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,arch,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,weight_decay,max_neighbors,n_conv_layers,target_column,classification,distance_emb_dim,internal_weights
p3mh45nv,2j04491n,solar-sweep-16,31.762470245361328,0.001,48,32,False,normal,666,10.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,both,0.0,False,vector,0.8,0,10,3,rot589,False,32,False
k2ln8dnk,1ye8y6u7,spring-sweep-9,0.9033605456352234,0.0005,48,48,False,both_nonscaled,666,5.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,node,0.05,False,vector,0.8,0,50,3,rot589_sign,True,48,False
fz0dajg7,5h3mvga0,whole-sweep-8,0.9022597670555116,0.0005,48,48,False,pseudo_nonscaled,666,10.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,node,0.1,False,vector,0.8,0,50,3,rot589_sign,True,64,False
5ybavebt,cbjzelvf,prime-sweep-20,0.8948135375976562,0.0005,48,32,False,normal,666,5.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,both,0.05,False,vector,0.8,0,50,3,rot589_sign,True,64,False
umtzjghf,g92r08ig,comfy-sweep-25,31.54152107238769,0.0005,48,48,False,normal_scaled,666,5.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,node,0.0,False,vector,0.8,0,10,3,rot589,False,48,False
grb0q42j,iwikpcza,quiet-sweep-31,0.8866550326347351,0.0005,48,32,False,both,666,2.5,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,both,0.0,False,vector,0.8,0,10,3,rot589_sign,True,64,False
ins8adml,rlv9i41m,summer-sweep-24,30.136459350585938,0.0005,48,32,False,both_nonscaled,666,5.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,node,0.0,False,vector,0.8,0,50,3,rot589,False,64,False
kjuvm99h,sn8p3eku,lilac-sweep-7,31.83194732666016,0.0005,48,32,False,pseudo_nonscaled,666,5.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,node,0.05,False,vector,0.8,0,25,3,rot589,False,64,False
8za5pkjr,xp9bn2ho,rich-sweep-25,32.21350860595703,0.0005,32,32,False,pseudo,666,5.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,node,0.0,False,vector,0.8,0,50,3,rot589,False,48,False
q3r6sjjn,5uxvq7v3,rare-sweep-27,30.38444328308105,0.0005,48,48,False,both,666,10.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,node,0.0,False,vector,0.8,0,25,3,rot589,False,32,False
5k9ptrkn,7t2x2nnm,vocal-sweep-10,0.8764244914054871,0.0005,16,32,False,pseudo,666,5.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,both,0.0,False,vector,0.8,0,50,3,rot589_sign,True,16,False
2i1u7frz,uxhyjx14,rare-sweep-31,0.8972416520118713,0.0001,48,48,False,normal_scaled,666,10.0,data/qm9-rotation/dataloader_qm9-rotation.py:QM9Rotation,torchchem_v1,dft,random,node,0.05,False,vector,0.8,0,25,3,rot589_sign,True,48,False
