id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs
15406,COC(=O)[C@@H]1OC(C)(C)O[C@H]1C(=O)OC,COC(=O)[C@@H]1OC(C)(C)O[C@H]1C(=O)OC,-36.0,-195.98,218.20499999999996,-218.20499999999996,195.98
79778,C[C@@H]1CCCN1,C[C@@H]1CCCN1,-32.1,-82.08,85.15,-85.15,82.08
81750,[H][C@](C)(O)[C@@]1([H])O[C@]2([H])OC(C)(C)O[C@]2([H])[C@H]1O,C[C@@H](O)[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O,-10.43,-4.54,204.22199999999998,-204.22199999999998,4.54
83472,[H][C@]12O[C@]3([H])[C@@H](C)OC(C)(C)O[C@]3([H])[C@@]1([H])OC(C)(C)O2,C[C@H]1OC(C)(C)O[C@@H]2[C@H]3OC(C)(C)O[C@H]3O[C@@H]21,34.43,106.66,244.28699999999995,244.28699999999995,106.66
83899,COC1=C(OC)C=C2[C@H](C)NCCC2=C1,COc1cc2c(cc1OC)[C@H](C)NCC2,-45.4,-212.51,207.27299999999997,-207.27299999999997,212.51
84221,COC1=C(OC)C=C2[C@H](C)N(C)CCC2=C1,COc1cc2c(cc1OC)[C@H](C)N(C)CC2,-27.5,13.37,221.29999999999995,221.29999999999995,13.37
84655,COC(=O)[C@@H]1C[C@@H](O)CN1C(C)=O,COC(=O)[C@@H]1C[C@@H](O)CN1C(C)=O,-89.9,-56.18,187.19499999999996,-187.19499999999996,56.18
84954,C[C@@H]1OC=C[C@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](C)OC=C[C@@H]1OC(C)=O,65.0,-33.28,214.21699999999998,-214.21699999999998,33.28
85031,CC(=O)O[C@@H]1COC=C[C@@H]1OC(C)=O,CC(=O)O[C@H]1C=COC[C@H]1OC(C)=O,200.0,-146.21,200.18999999999997,-200.18999999999997,146.21
85171,[H][C@]1(COC(C)(C)O1)[C@]1([H])OC(C)(C)O[C@H]1C=O,CC1(C)O[C@@H]([C@@H]2COC(C)(C)O2)[C@H](C=O)O1,10.0,93.72,230.26,230.26,93.72
88579,OC(=O)[C@@H]1CCCN1C(=O)OCC1=CC=CC=C1,O=C(O)[C@@H]1CCCN1C(=O)OCc1ccccc1,-105.3,-38.28,249.26600000000002,-249.26600000000002,38.28
1237942,C[C@H]1OC(=O)CCC1=O,C[C@H]1OC(=O)CCC1=O,277.0,254.69,128.12699999999998,128.12699999999998,254.69
1280129,[H][C@]1(C)CCCO1,C[C@H]1CCCO1,19.5,143.21,86.134,86.134,143.21
1280146,C[C@@H]1CC[C@@H](C)O1,C[C@@H]1CC[C@@H](C)O1,-30.3,-121.24,100.16099999999999,-100.16099999999999,121.24
1306064,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC,-39.9,39.83,178.184,178.184,39.83
1310260,[H][C@@](O)(C(=O)CO)[C@@]1([H])COC(C)(C)O1,CC1(C)OC[C@H]([C@H](O)C(=O)CO)O1,-30.1,209.96,190.19499999999996,190.19499999999996,209.96
1344287,C[C@@H]1[C@H](OC1=O)C1=CC=C(Cl)C=C1,C[C@H]1C(=O)O[C@@H]1c1ccc(Cl)cc1,25.5,-15.31,196.63299999999998,-196.63299999999998,15.31
1345025,[H][C@]12CCCC[C@@]1([H])NC1=C(C2)C=CC=C1,c1ccc2c(c1)C[C@H]1CCCC[C@H]1N2,26.6,-10.1,187.28599999999997,-187.28599999999997,10.1
1345099,[H][C@]1(O[C@@]1([H])C1=CC=CC=C1)C(=O)C1=CC=CC=C1,O=C(c1ccccc1)[C@@H]1O[C@H]1c1ccccc1,-204.0,-101.51,224.259,-224.259,101.51
1361916,CCCC[C@H]1O[C@@H]1CCCC,CCCC[C@H]1O[C@@H]1CCCC,26.7,130.4,156.26899999999998,156.26899999999998,130.4
1423051,CC(C)=CCC[C@]1(C)O[C@H]1CO,CC(C)=CCC[C@]1(C)O[C@H]1CO,-2.1,-107.16,170.252,-170.252,107.16
