id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,specific_rotation_computed_abs,specific_rotation_abs,specific_rotation_power,specific_rotation_power_abs,specific_rotation_computed_power,specific_rotation_computed_power_abs,point_group,is_point_group_chiral,point_group_noH,is_point_group_noH_chiral,specific_rotation_sign,specific_rotation_computed_sign
15406,COC(=O)[C@@H]1OC(C)(C)O[C@H]1C(=O)OC,COC(=O)[C@@H]1OC(C)(C)O[C@H]1C(=O)OC,-36.0,-195.98,195.98,36.0,-78.55379999999998,78.55379999999998,-427.63815899999986,427.63815899999986,C2,True,C2,True,-1.0,-1.0
79778,C[C@@H]1CCCN1,C[C@@H]1CCCN1,-32.1,-82.08,82.08,32.1,-27.333150000000003,27.333150000000003,-69.89112,69.89112,C1,True,C1,True,-1.0,-1.0
81750,[H][C@](C)(O)[C@@]1([H])O[C@]2([H])OC(C)(C)O[C@]2([H])[C@H]1O,C[C@@H](O)[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O,-10.43,-4.54,4.54,10.43,-21.300354599999995,21.300354599999995,-9.2716788,9.2716788,C1,True,C1,True,-1.0,-1.0
83472,[H][C@]12O[C@]3([H])[C@@H](C)OC(C)(C)O[C@]3([H])[C@@]1([H])OC(C)(C)O2,C[C@H]1OC(C)(C)O[C@@H]2[C@H]3OC(C)(C)O[C@H]3O[C@@H]21,34.43,106.66,106.66,34.43,84.10801409999998,84.10801409999998,260.5565141999999,260.5565141999999,C1,True,C1,True,1.0,1.0
83899,COC1=C(OC)C=C2[C@H](C)NCCC2=C1,COc1cc2c(cc1OC)[C@H](C)NCC2,-45.4,-212.51,212.51,45.4,-94.10194199999998,94.10194199999998,-440.4758522999999,440.4758522999999,C1,True,C1,True,-1.0,-1.0
84221,COC1=C(OC)C=C2[C@H](C)N(C)CCC2=C1,COc1cc2c(cc1OC)[C@H](C)N(C)CC2,-27.5,13.37,13.37,27.5,-60.85749999999999,60.85749999999999,29.58780999999999,29.58780999999999,C1,True,C1,True,-1.0,1.0
84655,COC(=O)[C@@H]1C[C@@H](O)CN1C(C)=O,COC(=O)[C@@H]1C[C@@H](O)CN1C(C)=O,-89.9,-56.18,56.18,89.9,-168.28830499999995,168.28830499999995,-105.16615099999997,105.16615099999997,C1,True,C1,True,-1.0,-1.0
84954,C[C@@H]1OC=C[C@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](C)OC=C[C@@H]1OC(C)=O,65.0,-33.28,33.28,65.0,139.24105,139.24105,-71.29141759999999,71.29141759999999,C1,True,C1,True,1.0,-1.0
85031,CC(=O)O[C@@H]1COC=C[C@@H]1OC(C)=O,CC(=O)O[C@H]1C=COC[C@H]1OC(C)=O,200.0,-146.21,146.21,200.0,400.37999999999994,400.37999999999994,-292.697799,292.697799,C1,True,C1,True,1.0,-1.0
85171,[H][C@]1(COC(C)(C)O1)[C@]1([H])OC(C)(C)O[C@H]1C=O,CC1(C)O[C@@H]([C@@H]2COC(C)(C)O2)[C@H](C=O)O1,10.0,93.72,93.72,10.0,23.026,23.026,215.799672,215.799672,C1,True,C1,True,1.0,1.0
