id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed
15406,COC(=O)[C@@H]1OC(C)(C)O[C@H]1C(=O)OC,COC(=O)[C@@H]1OC(C)(C)O[C@H]1C(=O)OC,-36.0,-195.98
79778,C[C@@H]1CCCN1,C[C@@H]1CCCN1,-32.1,-82.08
81750,[H][C@](C)(O)[C@@]1([H])O[C@]2([H])OC(C)(C)O[C@]2([H])[C@H]1O,C[C@@H](O)[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O,-10.43,-4.54
83472,[H][C@]12O[C@]3([H])[C@@H](C)OC(C)(C)O[C@]3([H])[C@@]1([H])OC(C)(C)O2,C[C@H]1OC(C)(C)O[C@@H]2[C@H]3OC(C)(C)O[C@H]3O[C@@H]21,34.43,106.66
83899,COC1=C(OC)C=C2[C@H](C)NCCC2=C1,COc1cc2c(cc1OC)[C@H](C)NCC2,-45.4,-212.51
84221,COC1=C(OC)C=C2[C@H](C)N(C)CCC2=C1,COc1cc2c(cc1OC)[C@H](C)N(C)CC2,-27.5,13.37
84655,COC(=O)[C@@H]1C[C@@H](O)CN1C(C)=O,COC(=O)[C@@H]1C[C@@H](O)CN1C(C)=O,-89.9,-56.18
84954,C[C@@H]1OC=C[C@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](C)OC=C[C@@H]1OC(C)=O,65.0,-33.28
85031,CC(=O)O[C@@H]1COC=C[C@@H]1OC(C)=O,CC(=O)O[C@H]1C=COC[C@H]1OC(C)=O,200.0,-146.21
85171,[H][C@]1(COC(C)(C)O1)[C@]1([H])OC(C)(C)O[C@H]1C=O,CC1(C)O[C@@H]([C@@H]2COC(C)(C)O2)[C@H](C=O)O1,10.0,93.72
88579,OC(=O)[C@@H]1CCCN1C(=O)OCC1=CC=CC=C1,O=C(O)[C@@H]1CCCN1C(=O)OCc1ccccc1,-105.3,-38.28
1237942,C[C@H]1OC(=O)CCC1=O,C[C@H]1OC(=O)CCC1=O,277.0,254.69
1280129,[H][C@]1(C)CCCO1,C[C@H]1CCCO1,19.5,143.21
1280146,C[C@@H]1CC[C@@H](C)O1,C[C@@H]1CC[C@@H](C)O1,-30.3,-121.24
1306064,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC,-39.9,39.83
1310260,[H][C@@](O)(C(=O)CO)[C@@]1([H])COC(C)(C)O1,CC1(C)OC[C@H]([C@H](O)C(=O)CO)O1,-30.1,209.96
1344287,C[C@@H]1[C@H](OC1=O)C1=CC=C(Cl)C=C1,C[C@H]1C(=O)O[C@@H]1c1ccc(Cl)cc1,25.5,-15.31
1345025,[H][C@]12CCCC[C@@]1([H])NC1=C(C2)C=CC=C1,c1ccc2c(c1)C[C@H]1CCCC[C@H]1N2,26.6,-10.1
1345099,[H][C@]1(O[C@@]1([H])C1=CC=CC=C1)C(=O)C1=CC=CC=C1,O=C(c1ccccc1)[C@@H]1O[C@H]1c1ccccc1,-204.0,-101.51
1361916,CCCC[C@H]1O[C@@H]1CCCC,CCCC[C@H]1O[C@@H]1CCCC,26.7,130.4
1423051,CC(C)=CCC[C@]1(C)O[C@H]1CO,CC(C)=CCC[C@]1(C)O[C@H]1CO,-2.1,-107.16
1428230,CO[C@H]1O[C@H](C)C(=O)[C@H]2OC(C)(C)O[C@@H]12,CO[C@H]1O[C@H](C)C(=O)[C@H]2OC(C)(C)O[C@@H]12,65.4,254.56
1464743,[H][C@@]1(CO)CCCN1C(=O)OCC1=CC=CC=C1,O=C(OCc1ccccc1)N1CCC[C@H]1CO,-40.1,78.35
1621057,O=C1C[C@@H](C2=CC=CC=C2)C2=CC=CC=C2O1,O=C1C[C@@H](c2ccccc2)c2ccccc2O1,55.7,295.4
1624200,[H][C@@]12[C@H]3OC(=O)[C@@H](C)[C@@H]3CCC(C)=C1C(=O)C=C2C,CC1=CC(=O)C2=C(C)CC[C@@H]3[C@H](OC(=O)[C@H]3C)[C@@H]12,61.7,-71.6
1652900,CC(=O)O[C@@H]1C=CO[C@H](CN=N#N)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](OC(C)=O)C=CO[C@@H]1CN=[N+]=[N-],-46.0,337.74
1680160,[H][C@@]12CC[C@H](CCCC)N1[C@H](C)CCC2,CCCC[C@H]1CC[C@H]2CCC[C@@H](C)N21,-35.5,1.32
1718809,[H][C@](C)(CC)CO,CC[C@H](C)CO,-1.7,-23.68
1718955,[H][C@@](C)(CO)C(C)C,CC(C)[C@H](C)CO,4.35,83.35
1719281,[H][C@@](CC)(CO)CCCC,CCCC[C@H](CC)CO,1.75,44.85
1719324,[H][C@](C)(O)CCCCCC,CCCCCC[C@@H](C)O,-9.4,-53.55
1719329,[H][C@@](C)(Cl)CCCCCC,CCCCCC[C@H](C)Cl,34.6,-70.25
1720889,[H][C@](C)(CC)C(=O)OCC,CCOC(=O)[C@@H](C)CC,24.5,42.98
1720989,[H][C@](C)(CC=C)C(O)=O,C=CC[C@H](C)C(=O)O,9.6,63.52
1723417,[H][C@@](O)(CCCCCCC)CC(O)=O,CCCCCCC[C@@H](O)CC(=O)O,-16.4,-51.15
1723731,[H][C@@](O)(CCCCCCC)CC(=O)OC,CCCCCCC[C@@H](O)CC(=O)OC,-17.35,24.41
1934136,[H][C@](C)(C(O)=O)[C@]([H])(O)CCCCCC,CCCCCC[C@@H](O)[C@@H](C)C(=O)O,5.0,-40.48
1962763,[H][C@@](NC(=O)OC(C)(C)C)(C(O)=O)C(C)(C)C,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C)(C)C,-2.8,1.4
1967907,[H][C@@]12C[C@H](O)C(=C)[C@]1(O)[C@@]1([H])C(C)(C)CC[C@@]1(C)C2,C=C1[C@@H](O)C[C@H]2C[C@]3(C)CCC(C)(C)[C@@H]3[C@@]12O,40.8,-61.75
2038251,C[C@H]1CCC(=O)C1,C[C@H]1CCC(=O)C1,-10.8,-218.82
2038599,O[C@@H]1CCCC=C1,O[C@H]1C=CCCC1,11.55,-108.58
2039797,[H][C@@](C)(O)C1=CC=CC=C1,C[C@H](O)c1ccccc1,-23.6,-72.49
2040677,CC1=CC=C(C=C1)[S@@](C)=O,Cc1ccc([S@@](C)=O)cc1,127.0,360.05
2042028,[H][C@@](C)(O)C1=CC=C(Cl)C=C1,C[C@H](O)c1ccc(Cl)cc1,-33.3,-70.24
2042396,[H][C@@](C)(O)C1=CC2=C(C=CC=C2)C=C1,C[C@H](O)c1ccc2ccccc2c1,-21.9,-15.62
2042986,[H][C@](O)(C(C)C)C1=CC=CC=C1,CC(C)[C@H](O)c1ccccc1,-26.07,-46.63
2047702,C[C@@H]1CCC2=C(C=CC=C2)[C@@H]1O,C[C@@H]1CCc2ccccc2[C@@H]1O,65.83,105.11
2047993,C[C@H]1CCC2=C1C[C@@H](CC[C@@H]2C)C(C)(C)O,C[C@H]1CC[C@@H](C(C)(C)O)CC2=C1CC[C@@H]2C,-22.0,-46.21
2048296,[H][C@](O)(C1CCCCC1)C1=CC=CC=C1,O[C@H](c1ccccc1)C1CCCCC1,-20.92,-43.15
2049261,[H][C@]1(CC(=O)C2=CC=CC=C12)C1=CC=CC=C1,O=C1C[C@@H](c2ccccc2)c2ccccc21,64.9,194.57
2050108,[H][C@]1(O)C2=CC=CC=C2C[C@@]1([H])C1=CC=CC=C1,O[C@H]1c2ccccc2C[C@H]1c1ccccc1,105.71,243.89
2050827,CC(=O)\C=C\[C@@]1(O)C(C)=CC(=O)CC1(C)C,CC(=O)/C=C/[C@@]1(O)C(C)=CC(=O)CC1(C)C,221.6,140.09
