idx,rot_sign,SMILES,point_group,is_point_group_chiral,point_group_noH,is_point_group_noH_chiral
000001,1,C[C@H]1CN=C(N)S1,C1,True,C1,True
000002,1,O[C@H]1CCC[C@@H](OCc2coc(-c3ccccc3)n2)C1,C1,True,C1,True
000003,1,CC(C)C[S@](N)=O,C1,True,C1,True
000004,1,Cc1cc2c(c(C)c1N)[C@@H](c1ccc(C(C)C)cc1)CO2,C1,True,C1,True
000006,1,CC(C)(C)OC(=O)N[C@@H]1CCC[C@](O)(C#Cc2cccc(Cl)c2)C1,C1,True,C1,True
000008,1,O=c1cc(NCCCN[C@@H]2CCNc3c(Br)cc(Br)cc32)[nH]c2ccsc12,C1,True,C1,True
000009,1,CN[C@H](C)c1ccc2ccccc2c1,C1,True,C1,True
000010,1,CC1(C)O[C@@H](CP(c2ccccc2)c2ccccc2)[C@H](CP(c2ccccc2)c2ccccc2)O1,C1,True,C1,True
000011,1,NC1=N[C@H](c2cc(Cl)ccc2C(F)(F)F)CO1,C1,True,C1,True
000012,1,C[C@@H](O)c1noc(-c2cccc(Cl)c2)n1,C1,True,C1,True
000013,1,CC[C@H](C)C(=O)OC(C)(C)C,C1,True,C1,True
000014,1,CC(C)[C@H](C)C(=O)OC(C)(C)C,C1,True,C1,True
000015,1,CC(C)(C)OC(=O)N1C[C@H](C(=O)O)[C@@H](c2ccc(C(F)(F)F)cc2)C1,C1,True,C1,True
000016,1,C=C(C)CCC[C@](C)(O)c1ccc(C(=O)O)cc1O,C1,True,C1,True
000017,1,Cc1noc([C@H]2CCCNC2)n1,C1,True,C1,True
000018,1,[2H]C([2H])([2H])c1noc([C@H]2CCCNC2)n1,C1,True,C1,True
000019,1,OC[C@H]1O[C@H](COC[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C1,True,C1,True
000020,1,CN(C)C[C@H]1[C@H]2CC[C@H](C2)C[C@]1(O)c1cccc(O)c1,C1,True,C1,True
000021,1,Cc1nc([C@@H](NC(=O)c2ccc(C3CC3)c(OCC3CC3)n2)C2CC2)no1,C1,True,C1,True
000022,1,CN[C@@H]1CCc2c(ccc(OC(=O)C(C)C)c2OC(=O)C(C)C)C1,C1,True,C1,True
000023,1,O=C(O)[C@H]1C[C@@H]1CN1CCN(c2csc3cc(C(F)(F)F)ccc23)CC1,C1,True,C1,True
000024,1,CCc1[nH]c(C(=O)N[C@@H]2CCN(c3nc(C(=O)N(C)C)c(C(=O)O)s3)C[C@@H]2OC)nc1Cl,C1,True,C1,True
000025,1,CCO[C@H]1CN(c2nc(C(=O)O)c(C)o2)CC[C@H]1NC(=O)c1nc(Cl)c(CC)[nH]1,C1,True,C1,True
000026,1,CO[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2cc(NC(=O)c3cnc(C(F)F)cn3)ccc2F)C1,C1,True,C1,True
000027,1,CO[C@@H]1C[C@H]2CSC(N)=N[C@@]2(c2cc(NC(=O)c3cnc(C(F)F)cn3)ccc2F)C1,C1,True,C1,True
000028,1,O=C(O)C[C@@H]1C[C@H](c2ccc(C(F)(F)F)cc2)N(Cc2cc(C(F)(F)F)ccc2C(F)(F)F)C1,C1,True,C1,True
000029,1,NC1=N[C@@]2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)C[C@@H](F)C[C@H]2CS1,C1,True,C1,True
000030,1,Cn1cc(Cl)c(C(=O)Nc2ccc(F)c([C@]34CCC[C@H]3CSC(N)=N4)c2)n1,C1,True,C1,True
000031,1,CC(C)(C)OC(=O)CN1CCc2nc(C(=O)N[C@@H]3CCC[C@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1,C1,True,C1,True
000032,1,O=C(O)CN1CCc2nc(C(=O)N[C@@H]3CCC[C@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1,C1,True,C1,True
000033,1,Cc1cc(C)n(-c2cccc([C@H](CC(=O)OC(C)(C)C)C(=O)O)c2)n1,C1,True,C1,True
000034,1,Cc1cc(C)n(-c2cccc(CC(=O)N3C(=O)OC[C@@H]3Cc3ccccc3)c2)n1,C1,True,C1,True
000035,1,Cc1cc(C)n(-c2cccc([C@H](CC(=O)OC(C)(C)C)C(=O)N3CC[C@@H](CCc4ccc5cccnc5n4)C3)c2)n1,C1,True,C1,True
000036,1,Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)C(=O)N3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,C1,True,C1,True
000037,1,O=C(OCc1cc(Cl)cc(Cl)c1)N1C[C@H]2CCN(C(=O)c3ccc4[nH]nnc4c3)C[C@@H]2C1,C1,True,C1,True
000038,1,O=C(/C=C/c1ccc(OC(F)(F)F)cc1)N1C[C@H]2CCN(C(=O)c3ccc4[nH]nnc4c3)C[C@@H]2C1,C1,True,C1,True
000039,1,COc1cc(C)c2[nH]ccc2c1CN1CC[C@@H](OC)C[C@@H]1c1ccc(C(=O)O)cc1,C1,True,C1,True
000040,1,COc1cc(C)c2[nH]ccc2c1CN1CCCC[C@H]1c1ccc(C(=O)O)cc1F,C1,True,C1,True
000041,1,COc1ccc(NC(=O)c2ccc(Cl)cn2)cc1[C@]12CCC[C@H]1CSC(N)=N2,C1,True,C1,True
000042,1,CCc1cc(O[C@H]2CCc3cccc(Br)c32)ccc1C1CCN(C(=O)C2CC2)CC1,C1,True,C1,True
