idx,rot_sign,SMILES,R=0,close,nmol
000000,1,C[C@H](CO)CN1CCC(c2noc3cc(F)ccc23)CC1.O=C(O)/C=C/C(=O)O,False,False,2
000001,1,C[C@H]1CN=C(N)S1,False,False,1
000002,1,O[C@H]1CCC[C@@H](OCc2coc(-c3ccccc3)n2)C1,False,False,1
000003,1,CC(C)C[S@](N)=O,False,False,1
000004,1,Cc1cc2c(c(C)c1N)[C@@H](c1ccc(C(C)C)cc1)CO2,False,False,1
000005,1,C[C@@H](CN)c1ccc(Br)cc1.Cl,False,False,2
000006,1,CC(C)(C)OC(=O)N[C@@H]1CCC[C@](O)(C#Cc2cccc(Cl)c2)C1,False,False,1
000007,1,Cl.O=C(O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,False,False,2
000008,1,O=c1cc(NCCCN[C@@H]2CCNc3c(Br)cc(Br)cc32)[nH]c2ccsc12,False,False,1
000009,1,CN[C@H](C)c1ccc2ccccc2c1,False,False,1
000010,1,CC1(C)O[C@@H](CP(c2ccccc2)c2ccccc2)[C@H](CP(c2ccccc2)c2ccccc2)O1,False,False,1
000011,1,NC1=N[C@H](c2cc(Cl)ccc2C(F)(F)F)CO1,False,False,1
000012,1,C[C@@H](O)c1noc(-c2cccc(Cl)c2)n1,False,False,1
000013,1,CC[C@H](C)C(=O)OC(C)(C)C,False,False,1
000014,1,CC(C)[C@H](C)C(=O)OC(C)(C)C,False,False,1
000015,1,CC(C)(C)OC(=O)N1C[C@H](C(=O)O)[C@@H](c2ccc(C(F)(F)F)cc2)C1,False,False,1
000016,1,C=C(C)CCC[C@](C)(O)c1ccc(C(=O)O)cc1O,False,False,1
000017,1,Cc1noc([C@H]2CCCNC2)n1,False,False,1
000018,1,[2H]C([2H])([2H])c1noc([C@H]2CCCNC2)n1,False,False,1
000019,1,OC[C@H]1O[C@H](COC[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,False,False,1
000020,1,CN(C)C[C@H]1[C@H]2CC[C@H](C2)C[C@]1(O)c1cccc(O)c1,False,False,1
000021,1,Cc1nc([C@@H](NC(=O)c2ccc(C3CC3)c(OCC3CC3)n2)C2CC2)no1,False,False,1
000022,1,CN[C@@H]1CCc2c(ccc(OC(=O)C(C)C)c2OC(=O)C(C)C)C1,False,False,1
000023,1,O=C(O)[C@H]1C[C@@H]1CN1CCN(c2csc3cc(C(F)(F)F)ccc23)CC1,False,False,1
000024,1,CCc1[nH]c(C(=O)N[C@@H]2CCN(c3nc(C(=O)N(C)C)c(C(=O)O)s3)C[C@@H]2OC)nc1Cl,False,False,1
