refcode,gap
ABOYOH,0.15121
ACUTEA,0.10868
ADAPON,0.10189
AJOKIV,0.10628
ALAMIL,0.10866
ALOJUI,0.06171
ANEZOK,0.08575
APACAW,0.08841
APUYIV,0.11317
AQIYEF,0.16381
AQULON,0.07884
AREHIO,0.07967
ASAFOQ,0.13035
ASAMOW,0.05477
ASUTAL,0.10103
ATAGUZ,0.13271
AVEREZ,0.07813
AXESEC,0.13386
AZIFEW,0.10363
BAHFUO,0.06059
BAYPID,0.07287
BAZBIP,0.05875
BEDLII,0.08853
BEFYIX,0.13119
BOHKEQ,0.17152
BOHKIU,0.17354
BOKYAC,0.12624
BOSYUF,0.10063
BOTXUF,0.09836
BUBKOZ,0.11533
BUJNIF,0.0775
CAPZAV,0.0996
CARCAB,0.09991
CATSIC,0.11136
CEFYUK,0.06914
CEPCAD,0.12565
CEQFOW,0.10019
CEQGAJ,0.09997
CIQVAB,0.10644
CIYLAZ,0.08071
COKGOB,0.10831
CORTIP,0.06975
CUBDOT,0.09171
DADLAX,0.06554
DAQNEQ,0.11804
DAQZOM,0.14994
DAXDOX,0.10088
DAYLIA,0.07954
DAYVEH,0.0952
DAZKIZ,0.08179
DEHZAU,0.12343
DEJCUR,0.0691
DESQEY,0.05443
DIDQAL,0.1125
DIFCED,0.13146
DIFDII,0.13555
DIWYOZ,0.13894
DIXJOL,0.09581
DOCNER,0.16791
DORTIQ,0.08973
DUXROF,0.07839
DUYZAA,0.09499
DUYZEE,0.09001
DUZJAL,0.11294
EBAHEX,0.12749
EBOGOU,0.07794
EBOROD,0.05321
ECEKAA,0.04684
ECIQAL,0.08571
EDEGUR,0.12072
EFEVOB,0.12063
EFEVUH,0.12141
EHAQEK,0.09826
EHAQIO,0.10525
EHEBEA,0.16233
EJUBER,0.10219
EJUBIV,0.09828
ELUNUV,0.06412
EMAFIH,0.07538
EMUZET,0.11818
EPOKOL,0.09525
ESERUQ,0.10897
ESIREE,0.12977
EWATAY,0.10462
EZODUT,0.07878
FAFGIE,0.10617
FAMRUJ,0.08526
FASCUA,0.07136
FEBGUP,0.10106
FECTIT,0.06632
FEDDAV,0.09302
FEJBIF,0.13066
FELLAL,0.01463
FEMQET,0.15497
FERMIA,0.15748
FESFER,0.10312
FESFOB,0.10341
FEYQAE,0.05072
FIFJUA,0.05685
FIFNUG,0.13214
FOFYAD,0.10432
FOKDOB,0.09438
FOQGOH,0.11841
GABMEE,0.09732
GABSOT,0.09446
GABVAJ,0.10346
GAFYAO,0.04844
GAYBUG,0.09891
GEBQOV,0.10423
GEQXOQ,0.10936
GETJUK,0.05484
GETNOK,0.0781
GIDLIQ,0.10748
GIDLOW,0.11078
GIDLUC,0.1013
GIFFOQ,0.10009
GILWAA,0.11333
GILWEE,0.09756
GINSIH,0.10874
GIPHOF,0.1171
GITZUG,0.08773
GIWHEA,0.17544
GIYBUO,0.1014
GIZKIJ,0.09802
GODCOU,0.09812
GONHEW,0.06778
GORFUQ,0.08606
GOSGOK,0.06186
GOYDAZ,0.11813
GUFKID,0.11418
GUSXOH,0.09321
GUWNOD,0.09613
GUWNUJ,0.09827
HACFID,0.08547
HAMHUY,0.08952
HAVFIV,0.07573
HAVGIW,0.09211
HAVHUJ,0.08422
HAVNOK,0.11995
HAWTEG,0.07273
HECXES,0.10323
HELMAP,0.08159
HIDLAI,0.12135
HIHPAR,0.10329
HIJHEP,0.08783
HIJQUP,0.09299
HIQBEO,0.09527
HITGAU,0.07515
HIVPOS,0.08787
HOHQEB,0.08586
HOHQUT,0.04407
HOKJAU,0.15505
IBIZUP,0.10785
ICOKAO,0.09455
ICOLOD,0.10476
ICUHOG,0.11572
IGUPEG,0.11875
IKISEC,0.05458
ILEPAR,0.09403
ILOPIJ,0.13699
IRINED,0.08704
ISIYIU,0.12169
ITADAK,0.09832
ITIXUF,0.12293
IWOLEN,0.16908
IYICID,0.0345
JAYCIY,0.10864
JEBHII,0.10157
JINRUW,0.07917
JIVTEN,0.08942
JIVTIR,0.0895
JIXVIV,0.07287
JIZTAP,0.04729
JOBFOW,0.09153
JODCEM,0.08991
JOMTAI,0.08569
JOMYIV,0.09056
JONYIW,0.03747
JOWNIS,0.08673
JUYDUE,0.09431
KAMFAI,0.09025
KAMZAC,0.10878
KECJUA,0.0861
KEJLIV,0.07614
KENZAG,0.09503
KICJAI,0.10996
KILQAZ,0.08029
KIMVIO,0.11301
KISQAG,0.10485
KITREM,0.11436
KIYSOA,0.13408
KOCMOF,0.08872
KOFGUK,0.13196
KOGWEK,0.13586
KOHCAN,0.08817
KOLHEA,0.07277
KOVWOJ,0.04943
KUBPII,0.04346
KUHPUZ,0.08735
KUHQAG,0.08851
KUWBUB,0.10766
LADFEC,0.09848
LAQZAH,0.0812
LATTEG,0.08188
LAVWUA,0.09878
LECNUE,0.09568
LEDXAW,0.1106
LEJZOR,0.1904
LEKQEA,0.1128
LEKQUQ,0.10938
LEPYUC,0.09553
LEPZAJ,0.09009
LEVDEX,0.09637
LEXDUP,0.0866
LIFFOV,0.09613
LINVEK,0.08523
LIYGUW,0.04346
LIYLUC,0.09987
LOLVAL,0.06708
LOQTUH,0.11606
LOYSEZ,0.12871
LOYSID,0.13268
LUQPIX,0.06688
MAFHEI,0.11552
MAFHIM,0.08657
MAFHOS,0.10968
MAFSAQ,0.1068
MAKNOE,0.09197
MALWII,0.11763
MEJHEQ,0.10741
MEJKUK,0.11359
MELLIB,0.08789
MELLUN,0.09335
MEPPEF,0.10262
MEWRUB,0.06732
MEWXOE,0.09643
MEWYAR,0.09705
MILPUU,0.10723
MIQBOG,0.16511
MIRHIH,0.11494
MIYWAT,0.08928
MIYZEC,0.11818
MUCGIA,0.1181
MULDAZ,0.17887
MULGIL,0.09172
MUYLUO,0.12009
MUZZUC,0.12727
NAFGOT,0.07983
NANNIC,0.11894
NARFOE,0.06368
NAVPAB,0.06541
NAVRUA,0.09998
NECJIR,0.06675
NEHBAE,0.183
