run_id,name,epoch,test_rmse,test_score,val_score_best,lr,n_s,n_v,noH,arch,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,classification,embedding_specs,distance_emb_dim,internal_weights
ve850h6x,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,399,31.457036848658127,20.994322286367936,28.022070801853506,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_9_test_indices.npy,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Polarizability,,,48,
trsu1j0u,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,440,67.69486318903465,35.4369708839015,25.137316652445797,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_8_test_indices.npy,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Polarizability,,,48,
vthp1l7i,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,352,48.959793104695336,27.65330503582794,24.23692712667921,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_7_test_indices.npy,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Polarizability,,,48,
j6e36zt5,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,389,56.34057109300166,25.859006868862515,27.514779716273956,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_6_test_indices.npy,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Polarizability,,,48,
jtqczp0u,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,432,43.318130686876536,25.98690656058639,22.97726049747123,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_4_test_indices.npy,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Polarizability,,,48,
e2b2zyq2,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,495,51.52978251862837,32.707763913811775,24.631834064442643,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_5_test_indices.npy,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Polarizability,,,48,
uk8m6zlq,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,280,46.34626700483838,30.0272413936874,25.329266030036912,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_3_test_indices.npy,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Polarizability,,,48,
yzukvbi9,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,478,41.86864586527804,24.36022342696165,25.57023533671209,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_2_test_indices.npy,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Polarizability,,,48,
25l53qap,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,492,41.41902476730568,25.155010723013895,24.54311445082572,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_1_test_indices.npy,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Polarizability,,,48,
8gmdgsot,cv10-tmSCO-Polarizability-inv-noH-ns64-d48-l3-vector_masked-node,263,43.94059026297437,27.705128670235943,25.072616727882256,0.001,64,0,True,,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.1,True,vector_masked,0.798,torchchem_v1,1e-05,10,3,Polarizability,,,48,
7p8jru99,cv10-tmSCO-Polarizability-inv-noH-ns48-d32-l3-energy-both,512,21.091192288197707,6.113589249813982,5.358646414130829,0.001,48,0,True,,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_9_test_indices.npy,both,0.0,True,energy,0.8,torchchem_v1,1e-05,50,3,Polarizability,,,32,
6lofz28d,cv10-tmSCO-Polarizability-inv-noH-ns48-d32-l3-energy-both,512,11.049101083965104,6.651342927538525,3.0917198056422404,0.001,48,0,True,,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_8_test_indices.npy,both,0.0,True,energy,0.8,torchchem_v1,1e-05,50,3,Polarizability,,,32,
583pcfga,cv10-tmSCO-Polarizability-inv-noH-ns48-d32-l3-energy-both,287,6.438530609000418,4.721815048428762,5.4423079154458005,0.001,48,0,True,,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_7_test_indices.npy,both,0.0,True,energy,0.8,torchchem_v1,1e-05,50,3,Polarizability,,,32,
m3yhbfoi,cv10-tmSCO-Polarizability-inv-noH-ns48-d32-l3-energy-both,512,11.1197608771915,5.678703996661281,6.473328772182158,0.001,48,0,True,,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_6_test_indices.npy,both,0.0,True,energy,0.8,torchchem_v1,1e-05,50,3,Polarizability,,,32,
