refcode,gap
ABATED,3.1458
AGAMIH,3.5708
AGLCMN,3.8044
AGUDUE,2.5127
AKASIQ,1.4331
ALLPMN,4.9818
AQSUMN,1.0442
ARIVEE,2.3266
AYAGIQ,2.3943
AYIZOY,3.1772
AZOCNI16,2.808
BABPAX,3.0782
BABQIE,3.7946
BABTED,3.6735
BAJVUE,1.943
BAMBAV,4.3069
BAMCOM,2.5077
BAYDEL,2.6014
BAYHUF,2.466
BEKPUE,3.2492
BEMJIN,2.4725
BEPRET,2.0781
BEXKOE,2.716
BEXZIN,2.6095
BEZLOH,3.3828
BIJJAG,2.5458
BIKDAA,3.0652
BIZQOQ,2.4043
BOJPOI,4.1011
BOTHEX,4.3103
BOTQEH,3.4597
BOXMIK,1.462
BOZJEH,3.5804
BUCRAS,1.6388
BUDHEN,1.8148
BUXJEJ,2.7816
CAFTIM,4.7331
CAFYAK,2.9559
CAHQEH,3.1226
CAJFAV,2.1403
CAMRAM,1.4425
CAPZAW,2.5185
CAZZUY,2.6671
CECBOB,2.9072
CEQPOF,2.8504
CESGOW,1.9611
CEXLUN,3.5579
CEZYUC,3.5948
CIDKEI,0.9026
CILGIO,2.8579
CIMGOU,4.5745
CMNMVK,4.0678
CMPYCR,3.4774
COETDS10,3.4341
COFRIZ,3.1364
CPTCFE,3.8216
CUJNAY,3.3064
CUJSAD,2.1394
CURVOB,2.7187
DAXPEY,4.4901
DAXPOI,2.8022
DEQNIX,3.8169
DEXFOB,1.762
DIDMAG,2.444
DIGJEJ,3.5443
DIHZEC,2.1463
DIJPOE,4.086
DIYVAL,3.9943
DODWUQ,1.5648
DOFZAA,3.6611
DOJCOX,2.5531
DOKQOJ,3.5032
DOQWUC,2.5599
DOVKUV,2.4289
DOXXOE,1.9951
DUFLEW,1.8319
DUSSAL,2.2983
DUWWEY,3.074
ECOXAW,1.3394
EDEZEU,2.478
EDIDED,2.6858
EDIJIL,3.4381
EGAMUX,2.7111
EHEXOE,2.5482
EHIJEM,3.3774
EJUSEK,3.1945
