run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,seed,radius,dataset,features,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,weight_decay,max_neighbors,n_conv_layers,target_column,distance_emb_dim
u0ndzpfg,qrpbckee,rich-sweep-1,2.3364216304499497,0.0001,64,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,energy,0.8,0.001,10,3,dipole_moment_Debye,48
jrh1okcz,qrpbckee,genial-sweep-2,2.57457315429311,0.001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,energy,0.8,0.001,10,3,dipole_moment_Debye,16
nrjernws,qrpbckee,solar-sweep-3,2.6987956130202413,0.0001,32,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector,0.8,0.0001,10,2,dipole_moment_Debye,64
kl034g3e,qrpbckee,polished-sweep-4,1.861420871516132,0.0005,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector,0.8,0.0,10,3,dipole_moment_Debye,48
sh2c6r77,qrpbckee,sweet-sweep-5,2.6830980223085703,0.0001,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector,0.8,0.001,50,2,dipole_moment_Debye,48
1bbyuqyr,qrpbckee,expert-sweep-6,2.4688534824529103,0.0005,16,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector,0.8,1e-05,25,3,dipole_moment_Debye,32
978ngfj6,qrpbckee,efficient-sweep-7,2.6880156980200565,5e-05,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,energy,0.8,0.0,50,2,dipole_moment_Debye,32
v1ys8s03,qrpbckee,comic-sweep-8,2.839306831091738,0.0001,16,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,energy,0.8,0.0001,50,2,dipole_moment_Debye,16
y1u5t4mq,qrpbckee,ethereal-sweep-9,2.858411338349818,5e-05,32,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector,0.8,0.0,10,2,dipole_moment_Debye,64
vpkmfw81,qrpbckee,magic-sweep-10,2.4538351237550216,0.0005,48,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector,0.8,0.001,10,3,dipole_moment_Debye,64
vtl1yl63,qrpbckee,mild-sweep-11,2.3654023140962765,0.0001,48,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,vector,0.8,0.0,10,3,dipole_moment_Debye,64
4yswq024,qrpbckee,royal-sweep-12,2.0757079766189372,0.001,16,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,vector,0.8,1e-05,25,3,dipole_moment_Debye,64
xm06a5lx,qrpbckee,vibrant-sweep-13,2.3898397590308336,0.001,16,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector,0.8,0.0001,25,3,dipole_moment_Debye,64
