refcode,gap
ACEGOH,2.1258
ADIGEB,1.4069
AGODAC,3.3746
AHIGOO,3.0023
AHUGOA,2.6904
AJAFEX,3.6546
AJICUT,1.7995
AJUKIA,3.8864
APUDUM,2.3346
AQIZEF,3.3104
AQUGEY,2.3844
ATOFAS,1.141
ATOMOM,1.993
ATUFAW,3.4094
AVUCUP,2.5807
AYOYES,2.8111
AZISUY,2.6229
BABCAK,2.21
BABPAX,3.0782
BABQIE,3.7946
BABTED,3.6735
BACNOK,2.8229
BAHDAS,3.6659
BAJJEB,2.5857
BAJWOZ,2.5877
BAWLAN,1.5684
BEPTIA,2.0603
BIKDAA,3.0652
BILQUI,3.1815
BITTAC,2.8338
BOFFOS,2.6053
BOFGOS,3.5211
BORFET,3.3064
BOWYUJ,2.847
BUCRAS,1.6388
BURMIL,5.0452
BUTDAV,4.332
CADYEM,5.3515
CAGCIW,1.6482
CAGSOV,3.0746
CAJFAV,2.1403
CAJFEZ,2.3858
CASXAY,3.7182
CEBZIS,2.4514
CEKJIO,1.9939
CEQPIZ,3.0566
CEQPOF,2.8504
CEQSEW,2.4479
CGLYMN,4.3862
CIGBUP,3.2645
CIMBUV,4.6207
CLSINI10,2.9597
CODLEO,2.4661
CODWAU,3.0777
COIMAC10,3.5852
COJGUG,2.2217
CORSIO,1.807
CPMSNI10,3.3496
CUVZIE,3.1053
CUZBUU,3.1782
CUZWUR,1.4697
DAXPOI,2.8022
DECKUT,2.1047
DECLAA,2.1419
DEKFAD,3.3288
DEPLES,3.3933
DEXFAN,2.8894
DEXFOB,1.762
DEXZAK,1.9919
DIGJEJ,3.5443
DIMDAH,2.7269
DIXXEP,2.8853
DIYVAL,3.9943
DOFVIG,3.731
DOPROS,3.1034
DORZEP,4.1586
DOVTUD,2.8349
DOZQIV,2.7252
DUWWEY,3.074
EAIVCO,3.4101
EAMNCR10,3.8394
ECBIMA10,3.799
ECEXIU,2.1052
EDEZEU,2.478
EDISOA,2.5163
EDUPOL,4.0686
EGEYIA,2.3324
EGUZUB,3.9502
EJEVEV,2.1159
EJUSEK,3.1945
ENUSEN,3.2956
EQACEF,2.3276
EQEQAV,2.286
EQOQIK,4.6003
ERIQIG,2.0711
EWABUA,3.5943
EWUSEW,2.9374
EYAYIN,3.1821
FALPOA,1.9777
FAWQEZ,4.0228
FAYVAF,2.4572
FAZTIK,2.9962
FEGVOE,2.3124
FEGVUJ,2.818
FEKPUG,3.8074
FERWEH,1.3984
FEWGIX,3.5977
FEWYAK,2.5947
FEWYIS,2.4193
FEXROR,1.822
FEXTUY,2.9651
FEZTEM,2.1804
FEZXUD,4.4607
FIFDUU,2.3833
FIHFIO,2.1941
FOKYEJ,4.3966
FOPJEB,4.3319
FOQBOC,1.8001
FOXCOM,1.8019
FUMKIH,2.5542
FURPEO,1.5815
FUYTOK,1.8306
GADMEH,2.9219
GADMOR,2.8588
GAVNEX,2.2705
GAYZEL,2.2571
GEDFIE,4.7555
GENBUW,3.1663
GESNAT,3.4625
GICZIB,2.5038
GILZIK,2.2245
GIXYIV,3.4892
GOCDEH,3.0774
GOXBAW,2.0425
GOXBOK,2.8693
GUGCUI,3.071
GUSCOP,3.1418
GUSJAI,4.4293
GUTYAY,1.7771
GUZCUZ,2.6989
HAKQEQ,2.8078
HANJIP,3.3907
HATPAU,4.5282
HAWSEF,2.8044
HAYLOI,2.3858
HEFGEG,2.1611
HEKXIG,3.5199
HESMIB,3.7977
HETLEX,2.3292
HEYNOO,2.9774
HIDQUJ,1.6818
HINTUU,3.4046
HIQLUR,2.4726
HOHBUB,2.2581
HONZIT,2.6983
HONZUF,2.4976
HOTVIW,3.5955
HOXMOX,2.1691
HUDGOC,3.5372
HULQAI,1.8658
HUMBEX,2.3544
HUQFAA,4.2141
HURSIX,2.9578
HUWTIF,3.156
HUXWAZ,2.5586
HUXWED,2.4646
HUYDUB,1.9796
IBEGIH,2.3212
IBUQOL,2.6599
IDUBEO,3.9409
IGIMIU,3.5226
IHIGEN,3.0243
ILODOD,2.5717
ILONUV,2.7069
ILUFUQ,2.3987
INEDEM,2.7118
INIFOB,2.6322
INILOI,2.5525
IROJEF,1.8757
ITEREF,2.4175
IVOSAO,2.2392
IVUTEY,1.8141
JAFVOB,3.6082
JAGGED,3.3998
JAVLOK,1.6724
JAWSUY,2.0205
JILVAB,4.1582
JIPDUI,3.6817
JIVFID,2.4819
JIVQEL,2.3326
JIWFUQ,2.265
JIWMIL,2.2571
JIWWUI,2.7197
JIYYIA,2.2558
JODGOZ,3.6676
JOXCOQ,1.6697
JUQDAA,2.0925
JURHIN,2.1632
KAGXID,1.5709
KAPPEW,1.9519
KAWCIU,1.4825
KAXMIF,2.1012
KAXYUE,1.6952
KEFYAV,4.5477
KEHJOY,2.9183
KEVHIC,1.8429
KIBBED,2.9938
KIKBEM,2.3865
KILBAJ,2.7556
KIPLIH,3.1228
KIQMAB,2.0438
KIYWAR,4.1636
KOCXEG,1.64
KOHMAW,3.7712
KOHMEA,2.1743
KUBGOD,4.1821
KUBHIZ,2.0099
KUGWIT,2.2385
KUSPUJ,3.6016
LADCIC,1.8608
LALPET,2.1002
LAMLOC,2.4619
LAPNIZ,2.7967
LDHPCR10,3.2818
LEYSEN,3.5773
LIBYOM,2.8132
LIHSUS,2.5255
LIXMOX,2.0953
LOJLEE,3.7776
LONGEA,2.7229
LOQLOS,1.8448
LOSHOS,2.2771
LOXSAS,3.1289
LUGDUM,4.0667
LUGPAE,2.5729
LUJPAI,1.6252
LUJROX,3.3104
LUYXEJ,1.8437
MAHNOZ,2.1886
MAKPIX,3.5199
MALGAI,2.9735
MALGIQ,5.0813
MEHBAC,3.3194
MEHNOC,3.3668
MEJZAF,2.4484
MIJSOP,1.5845
MIMGIY,4.2975
MIZSEV,3.7378
MNMTBH,1.6345
MODREE,2.8647
MOHWOW,2.9205
MOMCIB,1.8103
MTACNI,2.8242
MUDMIJ,4.2745
MUTVUU,3.1027
NAMYOQ,2.2683
NANJEU,2.6126
NAPYFE10,2.2259
NEMXIN,2.1769
NEXYAS,2.951
NIDTHC11,2.7788
NIHYIP,1.9186
NOKSOX,1.4866
NONTIW,3.222
NONTUI,2.0434
NOPTES,2.4574
NUNWUP,1.678
NUSMIY,1.8088
OBIMOC,2.8119
ODOWUC,2.2467
OFINAT,3.2351
OFIXEI,2.8082
OHUSEQ,2.9132
OKEMUO,1.9912
OPAKUM,2.0994
ORUDUB,2.8716
PABZIC,1.9188
PAMSUT,1.91
PARSOR,2.8969
PAYVAO,3.5375
PEHZOU,2.9135
PEJCOZ,1.3345
PEMENI,2.2805
PEMSOP,3.9442
PEMTAC,2.9509
PEVHAC,2.825
PIHWEI,4.2567
PITHAD,3.1736
PORNES,2.2563
PORPOB,3.8005
PUGLOS,2.4416
PUXRAC,0.9715
QADJEK,2.9733
QAHWUT,2.2612
QANMOK,2.7995
QARPEF,2.0797
QEHKUL,2.7474
QEHZIN,2.3987
QEKCAN,3.2152
QEWGOR,2.9884
QIGSEE,4.1895
QIMXUI,2.3194
QIRWIZ,3.0344
