name,target,scope,mae_mean,mae_std,rmse_mean,rmse_std
cv10-TMGSspinPlus_emb-HOMO-inv-noH-ns64-d16-l3-energy-node,HOMO,global,0.4256956696510315,0.032790754766379285,0.7162896931171417,0.27828087480837954
cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d16-l3-energy-node,HOMO,global,1.230699896812439,0.08932239341376684,1.7643465161323548,0.12898787124794223
cv10-TMGSspinPlus_emb-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,HOMO,local,0.39451062977313994,0.05581177591717336,0.675209978222847,0.39115926906248355
cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,HOMO,local,1.1260463118553161,0.09420688472666369,1.868245005607605,0.14393079316480323
cv10-TMGSspinPlus_emb-LUMO-inv-noH-ns64-d32-l3-energy-both,LUMO,global,0.4991700381040573,0.05942760086852035,0.8026708960533142,0.30649410033569474
cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,LUMO,global,1.2963299989700316,0.09530873485943521,1.7974201798439027,0.15435357077746922
cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,LUMO,local,1.3380487203598022,0.09998537211115326,2.0413030862808226,0.1705008637574815
cv10-TMGSspinPlus_emb-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,LUMO,local,0.456477427482605,0.04604141333204265,0.6958461225032806,0.3112793192980094
cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,dipole_moment_Debye,global,1.9690801501274109,0.21038863718728387,2.9030693054199217,0.3313199756596832
cv10-TMGSspinPlus_emb-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,dipole_moment_Debye,global,2.13232878446579,0.1785357452911591,3.1165771007537844,0.3590644809581662
cv10-TMGSspinPlus_emb-dipole_moment_Debye-inv-noH-ns64-d16-l3-vector_masked-node,dipole_moment_Debye,local,2.400893545150757,0.1922851026166398,3.474691128730774,0.35201815829835276
cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-vector_masked-node,dipole_moment_Debye,local,2.0946922302246094,0.2274953604591788,2.998239207267761,0.34444736115116836
cv10-TMGSspinPlus-gap-inv-noH-ns64-d32-l3-vector-both,gap,global,0.42606026530265806,0.024286597112060517,0.5760164856910706,0.04246721298138138
cv10-TMGSspinPlus_emb-gap-inv-noH-ns64-d32-l3-vector-both,gap,global,0.43880235850811006,0.022982486341061228,0.5971755623817444,0.047054968723849754
cv10-TMGSspinPlus_emb-gap-inv-noH-ns64-d48-l3-vector_masked-both,gap,local,0.400001072883606,0.028233335888128982,0.5474825501441956,0.04037422346166231
cv10-TMGSspinPlus-gap-inv-noH-ns64-d48-l3-vector_masked-both,gap,local,0.42982869446277616,0.0338765620586411,0.5903943359851838,0.055161005700285495
cv10-TMGSspinPlus-hirshfeld-inv-noH-ns48-d16-l3-energy-both,hirshfeld,global,0.02820029277354479,0.002796873798820997,0.04276165962219238,0.004078188841389156
cv10-TMGSspinPlus_emb-hirshfeld-inv-noH-ns48-d16-l3-energy-both,hirshfeld,global,0.02942696902900934,0.0019717960325561575,0.0448295883834362,0.00463644553095621
cv10-TMGSspinPlus_emb-hirshfeld-inv-noH-ns48-d16-l3-vector_masked-both,hirshfeld,local,0.023516684025526046,0.0019358936700844315,0.03405157011002302,0.0041473159263272575
cv10-TMGSspinPlus-hirshfeld-inv-noH-ns48-d16-l3-vector_masked-both,hirshfeld,local,0.029469534009695052,0.002699706741916823,0.04411116875708103,0.004558315891662608
cv10-TMGSspinPlus_emb-splitting-inv-noH-ns64-d16-l3-energy-both,splitting,global,8.461078548431397,1.1810680022620474,12.58181972503662,2.204889531363563
cv10-TMGSspinPlus-splitting-inv-noH-ns64-d16-l3-energy-both,splitting,global,9.267449951171875,0.7161958420150205,13.877900314331054,1.6772644201494553
cv10-TMGSspinPlus_emb-splitting-inv-noH-ns64-d64-l2-vector_masked-node,splitting,local,8.770710372924805,0.8700450258633216,12.993405055999755,0.9841816749500163
cv10-TMGSspinPlus-splitting-inv-noH-ns64-d64-l2-vector_masked-node,splitting,local,9.462565994262695,0.8163908517290484,14.534631729125977,2.058421018337652
